system:index,usgs,lat_lon
0,0,"-122.62,37.77"
1,0,"-122.6196,37.77"
2,0,"-122.6192,37.77"
3,0,"-122.61880000000001,37.77"
4,0,"-122.61840000000001,37.77"
5,0,"-122.61800000000001,37.77"
6,0,"-122.61760000000001,37.77"
7,0,"-122.61720000000001,37.77"
8,0,"-122.61680000000001,37.77"
9,0,"-122.61640000000001,37.77"
10,0,"-122.61600000000001,37.77"
11,0,"-122.61560000000001,37.77"
12,0,"-122.61520000000002,37.77"
13,0,"-122.61480000000002,37.77"
14,0,"-122.61440000000002,37.77"
15,0,"-122.61400000000002,37.77"
16,0,"-122.61360000000002,37.77"
17,0,"-122.61320000000002,37.77"
18,0,"-122.61280000000002,37.77"
19,0,"-122.61240000000002,37.77"
20,0,"-122.61200000000002,37.77"
21,0,"-122.61160000000002,37.77"
22,0,"-122.61120000000003,37.77"
23,0,"-122.61080000000003,37.77"
24,0,"-122.61040000000003,37.77"
25,0,"-122.61000000000003,37.77"
26,0,"-122.60960000000003,37.77"
27,0,"-122.60920000000003,37.77"
28,0,"-122.60880000000003,37.77"
29,0,"-122.60840000000003,37.77"
30,0,"-122.60800000000003,37.77"
31,0,"-122.60760000000003,37.77"
32,0,"-122.60720000000003,37.77"
33,0,"-122.60680000000004,37.77"
34,0,"-122.60640000000004,37.77"
35,0,"-122.60600000000004,37.77"
36,0,"-122.60560000000004,37.77"
37,0,"-122.60520000000004,37.77"
38,0,"-122.60480000000004,37.77"
39,0,"-122.60440000000004,37.77"
40,0,"-122.60400000000004,37.77"
41,0,"-122.60360000000004,37.77"
42,0,"-122.60320000000004,37.77"
43,0,"-122.60280000000004,37.77"
44,0,"-122.60240000000005,37.77"
45,0,"-122.60200000000005,37.77"
46,0,"-122.60160000000005,37.77"
47,0,"-122.60120000000005,37.77"
48,0,"-122.60080000000005,37.77"
49,0,"-122.60040000000005,37.77"
50,0,"-122.60000000000005,37.77"
51,0,"-122.59960000000005,37.77"
52,0,"-122.59920000000005,37.77"
53,0,"-122.59880000000005,37.77"
54,0,"-122.59840000000005,37.77"
55,0,"-122.59800000000006,37.77"
56,0,"-122.59760000000006,37.77"
57,0,"-122.59720000000006,37.77"
58,0,"-122.59680000000006,37.77"
59,0,"-122.59640000000006,37.77"
60,0,"-122.59600000000006,37.77"
61,0,"-122.59560000000006,37.77"
62,0,"-122.59520000000006,37.77"
63,0,"-122.59480000000006,37.77"
64,0,"-122.59440000000006,37.77"
65,0,"-122.59400000000007,37.77"
66,0,"-122.59360000000007,37.77"
67,0,"-122.59320000000007,37.77"
68,0,"-122.59280000000007,37.77"
69,0,"-122.59240000000007,37.77"
70,0,"-122.59200000000007,37.77"
71,0,"-122.59160000000007,37.77"
72,0,"-122.59120000000007,37.77"
73,0,"-122.59080000000007,37.77"
74,0,"-122.59040000000007,37.77"
75,0,"-122.59000000000007,37.77"
76,0,"-122.58960000000008,37.77"
77,0,"-122.58920000000008,37.77"
78,0,"-122.58880000000008,37.77"
79,0,"-122.58840000000008,37.77"
80,0,"-122.58800000000008,37.77"
81,0,"-122.58760000000008,37.77"
82,0,"-122.58720000000008,37.77"
83,0,"-122.58680000000008,37.77"
84,0,"-122.58640000000008,37.77"
85,0,"-122.58600000000008,37.77"
86,0,"-122.58560000000008,37.77"
87,0,"-122.58520000000009,37.77"
88,0,"-122.58480000000009,37.77"
89,0,"-122.58440000000009,37.77"
90,0,"-122.58400000000009,37.77"
91,0,"-122.58360000000009,37.77"
92,0,"-122.58320000000009,37.77"
93,0,"-122.58280000000009,37.77"
94,0,"-122.58240000000009,37.77"
95,0,"-122.5820000000001,37.77"
96,0,"-122.5816000000001,37.77"
97,0,"-122.5812000000001,37.77"
98,0,"-122.5808000000001,37.77"
99,0,"-122.5804000000001,37.77"
100,0,"-122.5800000000001,37.77"
101,0,"-122.5796000000001,37.77"
102,0,"-122.5792000000001,37.77"
103,0,"-122.5788000000001,37.77"
104,0,"-122.5784000000001,37.77"
105,0,"-122.5780000000001,37.77"
106,0,"-122.5776000000001,37.77"
107,0,"-122.5772000000001,37.77"
108,0,"-122.5768000000001,37.77"
109,0,"-122.5764000000001,37.77"
110,0,"-122.5760000000001,37.77"
111,0,"-122.57560000000011,37.77"
112,0,"-122.57520000000011,37.77"
113,0,"-122.57480000000011,37.77"
114,0,"-122.57440000000011,37.77"
115,0,"-122.57400000000011,37.77"
116,0,"-122.57360000000011,37.77"
117,0,"-122.57320000000011,37.77"
118,0,"-122.57280000000011,37.77"
119,0,"-122.57240000000012,37.77"
120,0,"-122.57200000000012,37.77"
121,0,"-122.57160000000012,37.77"
122,0,"-122.57120000000012,37.77"
123,0,"-122.57080000000012,37.77"
124,0,"-122.57040000000012,37.77"
125,0,"-122.57000000000012,37.77"
126,0,"-122.56960000000012,37.77"
127,0,"-122.56920000000012,37.77"
128,0,"-122.56880000000012,37.77"
129,0,"-122.56840000000012,37.77"
130,0,"-122.56800000000013,37.77"
131,0,"-122.56760000000013,37.77"
132,0,"-122.56720000000013,37.77"
133,0,"-122.56680000000013,37.77"
134,0,"-122.56640000000013,37.77"
135,0,"-122.56600000000013,37.77"
136,0,"-122.56560000000013,37.77"
137,0,"-122.56520000000013,37.77"
138,0,"-122.56480000000013,37.77"
139,0,"-122.56440000000013,37.77"
140,0,"-122.56400000000014,37.77"
141,0,"-122.56360000000014,37.77"
142,0,"-122.56320000000014,37.77"
143,0,"-122.56280000000014,37.77"
144,0,"-122.56240000000014,37.77"
145,0,"-122.56200000000014,37.77"
146,0,"-122.56160000000014,37.77"
147,0,"-122.56120000000014,37.77"
148,0,"-122.56080000000014,37.77"
149,0,"-122.56040000000014,37.77"
150,0,"-122.56000000000014,37.77"
151,0,"-122.55960000000015,37.77"
152,0,"-122.55920000000015,37.77"
153,0,"-122.55880000000015,37.77"
154,0,"-122.55840000000015,37.77"
155,0,"-122.55800000000015,37.77"
156,0,"-122.55760000000015,37.77"
157,0,"-122.55720000000015,37.77"
158,0,"-122.55680000000015,37.77"
159,0,"-122.55640000000015,37.77"
160,0,"-122.55600000000015,37.77"
161,0,"-122.55560000000015,37.77"
162,0,"-122.55520000000016,37.77"
163,0,"-122.55480000000016,37.77"
164,0,"-122.55440000000016,37.77"
165,0,"-122.55400000000016,37.77"
166,0,"-122.55360000000016,37.77"
167,0,"-122.55320000000016,37.77"
168,0,"-122.55280000000016,37.77"
169,0,"-122.55240000000016,37.77"
170,0,"-122.55200000000016,37.77"
171,0,"-122.55160000000016,37.77"
172,0,"-122.55120000000016,37.77"
173,0,"-122.55080000000017,37.77"
174,0,"-122.55040000000017,37.77"
175,0,"-122.55000000000017,37.77"
176,0,"-122.54960000000017,37.77"
177,0,"-122.54920000000017,37.77"
178,0,"-122.54880000000017,37.77"
179,0,"-122.54840000000017,37.77"
180,0,"-122.54800000000017,37.77"
181,0,"-122.54760000000017,37.77"
