station_id,SF-M26,SF-M25,SF-M26-2,SF-L27,SF-K26,SF-J27,SF-M30,SF-L27-2,SF-J29-3,SF-J29,SF-L26,SF-M28,SF-M27,SF-L25,SF-M24,SF-L24,SF-N23,SF-N24-2,SF-K27-2,SF-J26-2,SF-K28-3,SF-L28,SF-K28,SF-K29-1,SF-J28-2,SF-K27,SF-K25,SF-J25,SF-H26-2,SF-P24,SF-N22-1A,SF-J24,SF-O24,SF-J26,SF-I26-,SF-I25,SF-K23,SF-H26,SF-O23,SF-H27-1,SF-F28-2,SF-G27,SF-M22-2,SF-L22,SF-F27,SF-N22-2,SF-G28-2,SF-G28-1,SF-M22-1,SF-O25-1,SF-K22-2,SF-K24,SF-J23-2,SF-G23,SF-G24,SF-G25,SF-F23,SF-E23,SF-D24,SF-C22,SF-B22,SF-J17,SF-I19,SF-I20,SF-H16,SF-H19,SF-H20,SF-H18,SF-H17,SF-G19,SF-G17,SF-G18,SF-G20,SF-F19,SF-E18,SF-E20,SF-H30,SF-G30-2,SF-F30-1,SF-E29-2,SF-E29-1,SF-D29,SF-D28,SF-A27,SF-G29-2,SF-G29-1,SF-G30-1,SF-G29-3,SF-F30-2,SF-F29,SF-E29-3,SF-F28-1,SF-E28-2,SF-E28,SF-J10,SF-J12,SF-J13,SF-J15,SF-J14,SF-H13,SF-I16,SF-H12,SF-G10-2,SF-H15,SF-G9,SF-H14,SF-G13,SF-G11,SF-G12,SF-G10-1,SF-F15,SF-F16,SF-C21,SF-C20,SF-B21,SF-B19,SF-A20,SF-A19,SF-C26,SF-C25,SF-B25,SF-E27,SF-B28-2,SF-D27,SF-C28-2,SF-C28-1,SF-B28,SF-J1,SF-H0,SF-J3,SF-J5,SF-G6,SF-G8,SF-G5,SF-G7,SF-F9,SF-H25,SF-G26,SF-K21,SF-K22-1,SF-J23-1,SF-J22-1,SF-J22-2,SF-J21,SF-I21,SF-I22,SF-I23-2,SF-I24,SF-I23-1,SF-F26,SF-M13,SF-M15,SF-L19,SF-L20,SF-N20-1,SF-M20,SF-K17-2,SF-K20,SF-K15-,SF-K19,SF-K18,SF-K17,SF-J16,SF-J18,SF-J20,SF-J19,SF-O12,SF-M12,SF-M10,SF-M11,SF-R19,SF-R20,SF-Q21-2,SF-Q21-1,SF-P21,SF-O18,SF-O19,SF-O21,SF-O22,SF-N21,SF-N20-2,SF-M21,SF-L21,SF-S29,SF-S30,SF Depot,SF-Q30,SF-P30,SF-O30-2,SF-O30,SF-N27,SF-N29,SF-N28,SF-L30-1,SF-L31-1,SF-K30-2,SF-L29,SF-J29-1,SF-I30,SF-I29-2,SF-I27,SF-I28,SF-I30-2,SF I29-1,SF-H28,SF-H29,SF-S24,SF-R24,SF-R26,SF-Q26,SF-P26,SF-O25-2,SF-N22-1B,SF-N26,SF-N25,SF-T21,SF-T22,SF-S22-2,SF-S22-1,SF-Q23-3,SF-Q22-1,SF-Q22-2,SF-P22,SF-W19,SF-W19-2,SF-U21,SF-T20,SF-S21,SF-AA28,SF-Z28,SF-Y29,SF-Y30,SF-Y27,SF-X30,SF-X29,SF-W29,SF-V28,SF-V29,SF-V30,SF-V31,SF-V32,SF-U30,SF-W14,SF-Z7,SF-Z6,SF-W8,SF-BB17,SF-AA15,SF-Z16,SF-Y14,SF-X14,SF-X19,SF-Y25
SF-M26,0.0,3.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-7.0,-7.0,-7.0,-5.0,-5.0,-5.0,-5.0,-5.0,-7.0,-7.0,-9.0,-9.0,-9.0,-9.0,-9.0,-6.0,-2.0,-2.0,-2.0,-2.0,-2.0,-4.0,-4.0,-8.0,-6.0,1.0,1.0,1.0,1.0,-3.0,-3.0,2.0,2.0,2.0,2.0,2.0,-4.0,-4.0,-3.0,-3.0,3.0,0.0,4.0,24.0,32.0,25.0,35.0,45.0,63.0,24.0,18.0,60.0,40.0,22.0,72.0,27.0,27.0,40.0,53.0,28.0,44.0,31.0,31.0,37.0,52.0,60.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,1.0,-5.0,-6.0,-4.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,59.0,59.0,61.0,88.0,76.0,55.0,77.0,45.0,41.0,64.0,34.0,58.0,53.0,42.0,44.0,39.0,67.0,72.0,18.0,2.0,11.0,-4.0,-5.0,-8.0,7.0,12.0,-2.0,-7.0,-7.0,0.0,-5.0,-11.0,-10.0,0.0,-5.0,42.0,50.0,41.0,32.0,52.0,29.0,28.0,3.0,5.0,39.0,5.0,5.0,10.0,10.0,12.0,14.0,14.0,7.0,6.0,11.0,15.0,76.0,78.0,41.0,27.0,27.0,27.0,74.0,34.0,66.0,41.0,51.0,55.0,62.0,49.0,23.0,39.0,99.0,77.0,64.0,69.0,48.0,36.0,42.0,28.0,23.0,37.0,17.0,6.0,6.0,8.0,18.0,11.0,23.0,-8.0,-8.0,-7.0,-6.0,0.0,-2.0,1.0,-1.0,-2.0,-5.0,-9.0,-9.0,-9.0,-9.0,-6.0,-6.0,-6.0,-7.0,-7.0,-2.0,6.0,-4.0,5.0,1.0,5.0,3.0,5.0,8.0,-1.0,-1.0,10.0,7.0,24.0,18.0,16.0,10.0,13.0,13.0,15.0,11.0,47.0,54.0,46.0,27.0,26.0,-6.0,-6.0,3.0,4.0,6.0,13.0,15.0,5.0,6.0,-4.0,-5.0,-5.0,-8.0,-8.0,102.0,28.0,19.0,50.0,52.0,59.0,44.0,87.0,90.0,25.0,15.0
SF-M25,-3.0,0.0,-11.0,-11.0,-11.0,-11.0,-11.0,-11.0,-11.0,-11.0,-10.0,-10.0,-10.0,-8.0,-8.0,-8.0,-8.0,-8.0,-10.0,-10.0,-12.0,-12.0,-12.0,-12.0,-12.0,-9.0,-5.0,-5.0,-5.0,-5.0,-5.0,-7.0,-7.0,-11.0,-9.0,-2.0,-2.0,-2.0,-2.0,-6.0,-6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-7.0,-7.0,-6.0,-6.0,0.0,-3.0,1.0,21.0,29.0,22.0,32.0,42.0,60.0,21.0,15.0,57.0,37.0,19.0,69.0,24.0,24.0,37.0,50.0,25.0,41.0,28.0,28.0,34.0,49.0,57.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-2.0,-8.0,-9.0,-7.0,-11.0,-11.0,-11.0,-11.0,-11.0,-11.0,56.0,56.0,58.0,85.0,73.0,52.0,74.0,42.0,38.0,61.0,31.0,55.0,50.0,39.0,41.0,36.0,64.0,69.0,15.0,-1.0,8.0,-7.0,-8.0,-11.0,4.0,9.0,-5.0,-10.0,-10.0,-3.0,-8.0,-14.0,-13.0,-3.0,-8.0,39.0,47.0,38.0,29.0,49.0,26.0,25.0,0.0,2.0,36.0,2.0,2.0,7.0,7.0,9.0,11.0,11.0,4.0,3.0,8.0,12.0,73.0,75.0,38.0,24.0,24.0,24.0,71.0,31.0,63.0,38.0,48.0,52.0,59.0,46.0,20.0,36.0,96.0,74.0,61.0,66.0,45.0,33.0,39.0,25.0,20.0,34.0,14.0,3.0,3.0,5.0,15.0,8.0,20.0,-11.0,-11.0,-10.0,-9.0,-3.0,-5.0,-2.0,-4.0,-5.0,-8.0,-12.0,-12.0,-12.0,-12.0,-9.0,-9.0,-9.0,-10.0,-10.0,-5.0,3.0,-7.0,2.0,-2.0,2.0,0.0,2.0,5.0,-4.0,-4.0,7.0,4.0,21.0,15.0,13.0,7.0,10.0,10.0,12.0,8.0,44.0,51.0,43.0,24.0,23.0,-9.0,-9.0,0.0,1.0,3.0,10.0,12.0,2.0,3.0,-7.0,-8.0,-8.0,-11.0,-11.0,99.0,25.0,16.0,47.0,49.0,56.0,41.0,84.0,87.0,22.0,12.0
SF-M26-2,8.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,0.0,2.0,9.0,9.0,9.0,9.0,5.0,5.0,10.0,10.0,10.0,10.0,10.0,4.0,4.0,5.0,5.0,11.0,8.0,12.0,32.0,40.0,33.0,43.0,53.0,71.0,32.0,26.0,68.0,48.0,30.0,80.0,35.0,35.0,48.0,61.0,36.0,52.0,39.0,39.0,45.0,60.0,68.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,67.0,69.0,96.0,84.0,63.0,85.0,53.0,49.0,72.0,42.0,66.0,61.0,50.0,52.0,47.0,75.0,80.0,26.0,10.0,19.0,4.0,3.0,0.0,15.0,20.0,6.0,1.0,1.0,8.0,3.0,-3.0,-2.0,8.0,3.0,50.0,58.0,49.0,40.0,60.0,37.0,36.0,11.0,13.0,47.0,13.0,13.0,18.0,18.0,20.0,22.0,22.0,15.0,14.0,19.0,23.0,84.0,86.0,49.0,35.0,35.0,35.0,82.0,42.0,74.0,49.0,59.0,63.0,70.0,57.0,31.0,47.0,107.0,85.0,72.0,77.0,56.0,44.0,50.0,36.0,31.0,45.0,25.0,14.0,14.0,16.0,26.0,19.0,31.0,0.0,0.0,1.0,2.0,8.0,6.0,9.0,7.0,6.0,3.0,-1.0,-1.0,-1.0,-1.0,2.0,2.0,2.0,1.0,1.0,6.0,14.0,4.0,13.0,9.0,13.0,11.0,13.0,16.0,7.0,7.0,18.0,15.0,32.0,26.0,24.0,18.0,21.0,21.0,23.0,19.0,55.0,62.0,54.0,35.0,34.0,2.0,2.0,11.0,12.0,14.0,21.0,23.0,13.0,14.0,4.0,3.0,3.0,0.0,0.0,110.0,36.0,27.0,58.0,60.0,67.0,52.0,95.0,98.0,33.0,23.0
SF-L27,8.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,0.0,2.0,9.0,9.0,9.0,9.0,5.0,5.0,10.0,10.0,10.0,10.0,10.0,4.0,4.0,5.0,5.0,11.0,8.0,12.0,32.0,40.0,33.0,43.0,53.0,71.0,32.0,26.0,68.0,48.0,30.0,80.0,35.0,35.0,48.0,61.0,36.0,52.0,39.0,39.0,45.0,60.0,68.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,67.0,69.0,96.0,84.0,63.0,85.0,53.0,49.0,72.0,42.0,66.0,61.0,50.0,52.0,47.0,75.0,80.0,26.0,10.0,19.0,4.0,3.0,0.0,15.0,20.0,6.0,1.0,1.0,8.0,3.0,-3.0,-2.0,8.0,3.0,50.0,58.0,49.0,40.0,60.0,37.0,36.0,11.0,13.0,47.0,13.0,13.0,18.0,18.0,20.0,22.0,22.0,15.0,14.0,19.0,23.0,84.0,86.0,49.0,35.0,35.0,35.0,82.0,42.0,74.0,49.0,59.0,63.0,70.0,57.0,31.0,47.0,107.0,85.0,72.0,77.0,56.0,44.0,50.0,36.0,31.0,45.0,25.0,14.0,14.0,16.0,26.0,19.0,31.0,0.0,0.0,1.0,2.0,8.0,6.0,9.0,7.0,6.0,3.0,-1.0,-1.0,-1.0,-1.0,2.0,2.0,2.0,1.0,1.0,6.0,14.0,4.0,13.0,9.0,13.0,11.0,13.0,16.0,7.0,7.0,18.0,15.0,32.0,26.0,24.0,18.0,21.0,21.0,23.0,19.0,55.0,62.0,54.0,35.0,34.0,2.0,2.0,11.0,12.0,14.0,21.0,23.0,13.0,14.0,4.0,3.0,3.0,0.0,0.0,110.0,36.0,27.0,58.0,60.0,67.0,52.0,95.0,98.0,33.0,23.0
SF-K26,8.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,0.0,2.0,9.0,9.0,9.0,9.0,5.0,5.0,10.0,10.0,10.0,10.0,10.0,4.0,4.0,5.0,5.0,11.0,8.0,12.0,32.0,40.0,33.0,43.0,53.0,71.0,32.0,26.0,68.0,48.0,30.0,80.0,35.0,35.0,48.0,61.0,36.0,52.0,39.0,39.0,45.0,60.0,68.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,67.0,69.0,96.0,84.0,63.0,85.0,53.0,49.0,72.0,42.0,66.0,61.0,50.0,52.0,47.0,75.0,80.0,26.0,10.0,19.0,4.0,3.0,0.0,15.0,20.0,6.0,1.0,1.0,8.0,3.0,-3.0,-2.0,8.0,3.0,50.0,58.0,49.0,40.0,60.0,37.0,36.0,11.0,13.0,47.0,13.0,13.0,18.0,18.0,20.0,22.0,22.0,15.0,14.0,19.0,23.0,84.0,86.0,49.0,35.0,35.0,35.0,82.0,42.0,74.0,49.0,59.0,63.0,70.0,57.0,31.0,47.0,107.0,85.0,72.0,77.0,56.0,44.0,50.0,36.0,31.0,45.0,25.0,14.0,14.0,16.0,26.0,19.0,31.0,0.0,0.0,1.0,2.0,8.0,6.0,9.0,7.0,6.0,3.0,-1.0,-1.0,-1.0,-1.0,2.0,2.0,2.0,1.0,1.0,6.0,14.0,4.0,13.0,9.0,13.0,11.0,13.0,16.0,7.0,7.0,18.0,15.0,32.0,26.0,24.0,18.0,21.0,21.0,23.0,19.0,55.0,62.0,54.0,35.0,34.0,2.0,2.0,11.0,12.0,14.0,21.0,23.0,13.0,14.0,4.0,3.0,3.0,0.0,0.0,110.0,36.0,27.0,58.0,60.0,67.0,52.0,95.0,98.0,33.0,23.0
SF-J27,8.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,0.0,2.0,9.0,9.0,9.0,9.0,5.0,5.0,10.0,10.0,10.0,10.0,10.0,4.0,4.0,5.0,5.0,11.0,8.0,12.0,32.0,40.0,33.0,43.0,53.0,71.0,32.0,26.0,68.0,48.0,30.0,80.0,35.0,35.0,48.0,61.0,36.0,52.0,39.0,39.0,45.0,60.0,68.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,67.0,69.0,96.0,84.0,63.0,85.0,53.0,49.0,72.0,42.0,66.0,61.0,50.0,52.0,47.0,75.0,80.0,26.0,10.0,19.0,4.0,3.0,0.0,15.0,20.0,6.0,1.0,1.0,8.0,3.0,-3.0,-2.0,8.0,3.0,50.0,58.0,49.0,40.0,60.0,37.0,36.0,11.0,13.0,47.0,13.0,13.0,18.0,18.0,20.0,22.0,22.0,15.0,14.0,19.0,23.0,84.0,86.0,49.0,35.0,35.0,35.0,82.0,42.0,74.0,49.0,59.0,63.0,70.0,57.0,31.0,47.0,107.0,85.0,72.0,77.0,56.0,44.0,50.0,36.0,31.0,45.0,25.0,14.0,14.0,16.0,26.0,19.0,31.0,0.0,0.0,1.0,2.0,8.0,6.0,9.0,7.0,6.0,3.0,-1.0,-1.0,-1.0,-1.0,2.0,2.0,2.0,1.0,1.0,6.0,14.0,4.0,13.0,9.0,13.0,11.0,13.0,16.0,7.0,7.0,18.0,15.0,32.0,26.0,24.0,18.0,21.0,21.0,23.0,19.0,55.0,62.0,54.0,35.0,34.0,2.0,2.0,11.0,12.0,14.0,21.0,23.0,13.0,14.0,4.0,3.0,3.0,0.0,0.0,110.0,36.0,27.0,58.0,60.0,67.0,52.0,95.0,98.0,33.0,23.0
SF-M30,8.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,0.0,2.0,9.0,9.0,9.0,9.0,5.0,5.0,10.0,10.0,10.0,10.0,10.0,4.0,4.0,5.0,5.0,11.0,8.0,12.0,32.0,40.0,33.0,43.0,53.0,71.0,32.0,26.0,68.0,48.0,30.0,80.0,35.0,35.0,48.0,61.0,36.0,52.0,39.0,39.0,45.0,60.0,68.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,67.0,69.0,96.0,84.0,63.0,85.0,53.0,49.0,72.0,42.0,66.0,61.0,50.0,52.0,47.0,75.0,80.0,26.0,10.0,19.0,4.0,3.0,0.0,15.0,20.0,6.0,1.0,1.0,8.0,3.0,-3.0,-2.0,8.0,3.0,50.0,58.0,49.0,40.0,60.0,37.0,36.0,11.0,13.0,47.0,13.0,13.0,18.0,18.0,20.0,22.0,22.0,15.0,14.0,19.0,23.0,84.0,86.0,49.0,35.0,35.0,35.0,82.0,42.0,74.0,49.0,59.0,63.0,70.0,57.0,31.0,47.0,107.0,85.0,72.0,77.0,56.0,44.0,50.0,36.0,31.0,45.0,25.0,14.0,14.0,16.0,26.0,19.0,31.0,0.0,0.0,1.0,2.0,8.0,6.0,9.0,7.0,6.0,3.0,-1.0,-1.0,-1.0,-1.0,2.0,2.0,2.0,1.0,1.0,6.0,14.0,4.0,13.0,9.0,13.0,11.0,13.0,16.0,7.0,7.0,18.0,15.0,32.0,26.0,24.0,18.0,21.0,21.0,23.0,19.0,55.0,62.0,54.0,35.0,34.0,2.0,2.0,11.0,12.0,14.0,21.0,23.0,13.0,14.0,4.0,3.0,3.0,0.0,0.0,110.0,36.0,27.0,58.0,60.0,67.0,52.0,95.0,98.0,33.0,23.0
SF-L27-2,8.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,0.0,2.0,9.0,9.0,9.0,9.0,5.0,5.0,10.0,10.0,10.0,10.0,10.0,4.0,4.0,5.0,5.0,11.0,8.0,12.0,32.0,40.0,33.0,43.0,53.0,71.0,32.0,26.0,68.0,48.0,30.0,80.0,35.0,35.0,48.0,61.0,36.0,52.0,39.0,39.0,45.0,60.0,68.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,67.0,69.0,96.0,84.0,63.0,85.0,53.0,49.0,72.0,42.0,66.0,61.0,50.0,52.0,47.0,75.0,80.0,26.0,10.0,19.0,4.0,3.0,0.0,15.0,20.0,6.0,1.0,1.0,8.0,3.0,-3.0,-2.0,8.0,3.0,50.0,58.0,49.0,40.0,60.0,37.0,36.0,11.0,13.0,47.0,13.0,13.0,18.0,18.0,20.0,22.0,22.0,15.0,14.0,19.0,23.0,84.0,86.0,49.0,35.0,35.0,35.0,82.0,42.0,74.0,49.0,59.0,63.0,70.0,57.0,31.0,47.0,107.0,85.0,72.0,77.0,56.0,44.0,50.0,36.0,31.0,45.0,25.0,14.0,14.0,16.0,26.0,19.0,31.0,0.0,0.0,1.0,2.0,8.0,6.0,9.0,7.0,6.0,3.0,-1.0,-1.0,-1.0,-1.0,2.0,2.0,2.0,1.0,1.0,6.0,14.0,4.0,13.0,9.0,13.0,11.0,13.0,16.0,7.0,7.0,18.0,15.0,32.0,26.0,24.0,18.0,21.0,21.0,23.0,19.0,55.0,62.0,54.0,35.0,34.0,2.0,2.0,11.0,12.0,14.0,21.0,23.0,13.0,14.0,4.0,3.0,3.0,0.0,0.0,110.0,36.0,27.0,58.0,60.0,67.0,52.0,95.0,98.0,33.0,23.0
SF-J29-3,8.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,0.0,2.0,9.0,9.0,9.0,9.0,5.0,5.0,10.0,10.0,10.0,10.0,10.0,4.0,4.0,5.0,5.0,11.0,8.0,12.0,32.0,40.0,33.0,43.0,53.0,71.0,32.0,26.0,68.0,48.0,30.0,80.0,35.0,35.0,48.0,61.0,36.0,52.0,39.0,39.0,45.0,60.0,68.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,67.0,69.0,96.0,84.0,63.0,85.0,53.0,49.0,72.0,42.0,66.0,61.0,50.0,52.0,47.0,75.0,80.0,26.0,10.0,19.0,4.0,3.0,0.0,15.0,20.0,6.0,1.0,1.0,8.0,3.0,-3.0,-2.0,8.0,3.0,50.0,58.0,49.0,40.0,60.0,37.0,36.0,11.0,13.0,47.0,13.0,13.0,18.0,18.0,20.0,22.0,22.0,15.0,14.0,19.0,23.0,84.0,86.0,49.0,35.0,35.0,35.0,82.0,42.0,74.0,49.0,59.0,63.0,70.0,57.0,31.0,47.0,107.0,85.0,72.0,77.0,56.0,44.0,50.0,36.0,31.0,45.0,25.0,14.0,14.0,16.0,26.0,19.0,31.0,0.0,0.0,1.0,2.0,8.0,6.0,9.0,7.0,6.0,3.0,-1.0,-1.0,-1.0,-1.0,2.0,2.0,2.0,1.0,1.0,6.0,14.0,4.0,13.0,9.0,13.0,11.0,13.0,16.0,7.0,7.0,18.0,15.0,32.0,26.0,24.0,18.0,21.0,21.0,23.0,19.0,55.0,62.0,54.0,35.0,34.0,2.0,2.0,11.0,12.0,14.0,21.0,23.0,13.0,14.0,4.0,3.0,3.0,0.0,0.0,110.0,36.0,27.0,58.0,60.0,67.0,52.0,95.0,98.0,33.0,23.0
SF-J29,8.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,0.0,2.0,9.0,9.0,9.0,9.0,5.0,5.0,10.0,10.0,10.0,10.0,10.0,4.0,4.0,5.0,5.0,11.0,8.0,12.0,32.0,40.0,33.0,43.0,53.0,71.0,32.0,26.0,68.0,48.0,30.0,80.0,35.0,35.0,48.0,61.0,36.0,52.0,39.0,39.0,45.0,60.0,68.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,67.0,69.0,96.0,84.0,63.0,85.0,53.0,49.0,72.0,42.0,66.0,61.0,50.0,52.0,47.0,75.0,80.0,26.0,10.0,19.0,4.0,3.0,0.0,15.0,20.0,6.0,1.0,1.0,8.0,3.0,-3.0,-2.0,8.0,3.0,50.0,58.0,49.0,40.0,60.0,37.0,36.0,11.0,13.0,47.0,13.0,13.0,18.0,18.0,20.0,22.0,22.0,15.0,14.0,19.0,23.0,84.0,86.0,49.0,35.0,35.0,35.0,82.0,42.0,74.0,49.0,59.0,63.0,70.0,57.0,31.0,47.0,107.0,85.0,72.0,77.0,56.0,44.0,50.0,36.0,31.0,45.0,25.0,14.0,14.0,16.0,26.0,19.0,31.0,0.0,0.0,1.0,2.0,8.0,6.0,9.0,7.0,6.0,3.0,-1.0,-1.0,-1.0,-1.0,2.0,2.0,2.0,1.0,1.0,6.0,14.0,4.0,13.0,9.0,13.0,11.0,13.0,16.0,7.0,7.0,18.0,15.0,32.0,26.0,24.0,18.0,21.0,21.0,23.0,19.0,55.0,62.0,54.0,35.0,34.0,2.0,2.0,11.0,12.0,14.0,21.0,23.0,13.0,14.0,4.0,3.0,3.0,0.0,0.0,110.0,36.0,27.0,58.0,60.0,67.0,52.0,95.0,98.0,33.0,23.0
