label,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,1037,1,0,44,580,0,7,166,171,1,0,11,6,0,16,436,13,263,412,289,2,119,0,0,137
1,2,55,0,53,15,0,0,0,0,0,0,43,0,0,1,0,0,0,3,1,1,0,0,3,4
2,1,0,123,0,0,2,0,15,0,0,1,0,0,0,0,1,13,7,0,0,0,22,0,0,0
3,177,32,0,1709,1074,0,9,49,57,14,0,113,6,0,44,87,5,48,502,231,18,17,0,2,664
4,901,5,0,353,2759,0,3,95,219,6,1,11,49,0,22,158,14,240,1365,633,20,67,0,2,796
5,1,0,3,0,0,39,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0
6,6,0,0,2,2,0,42,25,0,0,0,0,0,0,8,69,6,1,3,45,0,3,0,0,0
7,191,0,21,24,69,0,24,1267,44,0,3,1,0,0,8,590,141,150,40,70,1,490,0,0,20
8,204,0,0,41,185,0,0,25,777,0,0,0,8,0,2,59,4,363,269,14,1,42,0,0,75
9,1,0,0,44,24,0,0,0,5,235,0,2,15,0,1,1,0,1,26,1,130,0,0,45,21
10,2,0,0,0,0,0,1,1,0,0,30,0,0,1,0,1,2,0,0,0,0,5,0,0,0
11,8,29,0,135,12,0,0,1,0,0,0,116,0,0,9,15,0,11,16,11,3,0,0,0,37
12,11,0,0,15,90,0,0,0,22,10,0,0,121,0,1,1,0,10,182,13,5,2,0,0,35
13,0,0,1,0,0,1,0,1,0,0,3,0,0,5,0,0,0,0,0,0,0,2,0,0,0
14,33,0,0,50,42,0,18,17,3,0,0,10,0,0,135,47,0,6,9,93,2,5,0,0,32
15,313,2,2,34,102,0,58,429,44,0,1,0,1,0,38,756,74,145,72,150,8,213,0,0,42
16,24,0,17,4,23,0,8,108,2,0,2,0,0,0,1,59,56,13,1,6,0,35,0,0,3
17,339,0,7,11,137,0,1,112,353,0,0,4,0,1,3,153,23,840,146,56,0,384,0,0,29
18,417,0,0,205,1123,0,3,27,272,6,0,9,72,0,0,101,4,159,1629,178,5,37,0,1,382
19,436,1,0,79,553,0,63,51,22,2,0,5,8,0,63,228,8,53,172,569,3,25,0,0,190
20,6,1,0,62,86,0,0,0,11,17,0,1,38,0,2,7,0,0,76,4,99,0,0,17,70
21,81,0,30,2,27,0,0,417,29,0,0,0,0,0,0,207,9,214,18,13,1,719,0,0,2
22,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0
23,0,1,0,7,5,0,0,0,0,29,0,0,3,0,0,0,0,0,3,0,26,0,0,40,7
24,154,0,0,359,801,0,1,22,64,12,0,11,12,0,7,53,4,35,477,173,49,10,0,4,429
