label,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,1643,13,43,83,1,62,19,0,1,0,1,95,73,8,142,17,3,4,186,218,203,861,64,107,31
1,18,14196,1431,169,105,377,5640,0,0,2,135,1324,405,119,12,653,2572,22,395,76,15,116,4317,581,4163
2,16,1546,3794,122,28,151,470,9,2,3,28,874,46,583,43,118,540,145,436,122,24,352,3215,858,887
3,155,544,346,1248,0,370,350,4,2,0,4,422,210,16,322,162,35,8,742,274,99,828,418,464,428
4,0,87,17,1,136,19,8,1,0,0,73,2,1,1,0,3,18,3,2,1,0,0,21,4,7
5,58,1172,318,139,20,1275,850,0,0,0,5,1420,142,33,72,268,74,14,578,66,22,189,1020,563,1338
6,22,5249,367,48,16,239,13753,2,0,2,79,1059,1878,48,9,1387,1024,20,179,15,9,39,1013,249,4082
7,0,3,27,1,5,0,3,225,10,11,0,1,0,30,17,1,6,7,2,2,0,4,12,3,5
8,0,0,2,0,0,0,0,9,145,3,0,1,0,0,7,0,0,0,0,0,0,1,0,0,0
9,14,4,46,2,0,1,2,18,3,174,0,6,0,15,2,0,1,92,8,27,2,10,20,0,9
10,0,154,19,1,75,12,101,0,0,0,531,4,4,3,0,2,171,1,15,0,0,0,29,4,14
11,31,1641,1059,167,3,715,1379,5,0,2,11,3570,186,298,37,276,160,55,736,83,30,194,2028,983,2999
12,34,188,15,31,1,57,863,0,0,0,1,95,2119,4,2,429,38,0,55,6,11,40,29,13,185
13,13,143,845,20,6,41,62,24,1,7,6,373,5,495,3,13,131,126,54,9,4,37,581,170,158
14,51,5,18,110,0,41,3,20,13,2,0,37,1,3,786,0,5,0,99,73,91,339,15,47,4
15,19,631,158,68,2,163,1188,2,0,0,1,304,808,22,7,1224,96,12,218,22,11,40,266,112,979
16,3,2511,489,24,20,38,1082,3,0,0,195,109,55,67,4,62,1693,45,36,10,0,14,808,133,455
17,6,75,425,8,4,18,67,12,6,23,4,143,1,309,10,20,63,445,28,7,1,19,223,71,182
18,171,855,965,522,1,719,429,9,0,1,13,1614,277,56,222,324,134,24,2022,440,93,704,1203,1014,1168
19,334,472,353,523,0,180,150,5,3,12,1,348,59,13,281,33,43,4,645,1328,141,970,271,318,199
20,272,12,10,28,0,15,3,2,3,0,0,32,33,0,271,9,2,0,30,36,525,253,11,36,4
21,1035,388,404,531,0,224,52,10,4,13,0,326,101,23,750,71,54,4,583,704,335,4516,261,292,152
22,17,4486,2720,134,15,480,1007,5,0,4,71,1999,87,454,20,204,908,83,478,66,12,126,7117,770,2493
23,83,888,1223,168,3,463,468,2,0,2,23,1100,32,156,57,105,129,32,589,102,28,203,1461,1405,1160
24,17,4411,933,101,9,532,4547,10,0,2,67,2728,479,114,15,942,474,96,495,57,1,119,2642,765,8723
