label,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,1173,3,0,105,678,0,12,221,177,4,0,15,11,0,27,489,14,282,466,369,9,142,0,0,176
1,3,72,0,67,29,0,2,0,3,0,0,55,0,0,2,4,0,0,6,3,2,0,0,3,7
2,1,0,138,0,0,2,0,18,0,0,2,0,0,2,0,2,13,7,0,0,0,25,0,0,0
3,259,48,0,2064,1298,0,14,73,74,38,0,167,54,0,62,125,10,66,661,289,53,29,0,9,791
4,989,13,2,616,3002,0,10,132,240,12,1,33,90,0,42,202,20,269,1485,714,60,95,0,4,888
5,1,0,3,0,0,39,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0
6,12,0,0,5,5,0,54,33,0,0,0,1,0,0,8,98,11,1,3,54,0,4,0,0,1
7,240,1,28,41,91,0,27,1418,52,0,3,1,0,4,13,672,153,167,56,87,6,573,0,0,28
8,226,0,0,56,218,0,0,35,804,4,0,3,12,0,4,72,7,387,281,22,6,53,0,0,84
9,4,1,1,56,27,0,0,0,11,264,0,6,19,0,1,1,0,5,33,1,155,0,0,52,35
10,2,0,0,0,0,0,1,1,0,0,32,0,0,1,0,2,2,0,0,0,0,5,0,0,0
11,8,38,0,178,37,0,0,3,2,7,0,165,0,0,11,21,0,12,23,19,3,0,0,1,55
12,14,0,0,48,121,0,0,0,33,16,0,0,167,0,10,5,0,10,246,23,25,6,0,1,53
13,0,0,1,0,0,1,0,1,0,0,4,0,0,6,0,0,0,0,0,0,0,2,0,0,0
14,42,1,0,68,59,0,18,21,6,0,0,11,6,0,155,59,0,7,10,121,3,9,0,0,41
15,375,13,3,59,149,0,80,514,50,0,2,2,1,0,53,856,85,165,98,181,9,249,0,0,55
16,24,0,18,5,25,0,14,126,4,0,2,0,0,0,1,73,60,15,3,12,0,38,0,0,3
17,364,0,10,23,177,0,1,129,382,0,0,4,0,1,7,196,24,909,170,70,0,415,0,0,37
18,480,6,0,358,1255,0,5,51,290,13,0,20,109,0,2,118,8,174,1738,219,31,50,0,5,449
19,508,5,0,149,647,0,69,61,29,2,1,8,18,0,83,262,10,62,203,646,5,33,1,0,228
20,13,1,0,96,121,0,0,4,23,45,0,2,50,0,4,10,0,2,109,7,124,0,0,26,78
21,102,0,36,8,58,0,2,505,32,0,0,0,6,0,1,261,13,243,18,23,1,786,0,0,6
22,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0
23,0,2,0,11,6,0,0,0,0,32,0,1,3,0,0,0,0,0,10,0,30,0,0,75,7
24,188,2,0,509,889,0,1,29,67,20,0,22,24,0,14,68,5,42,514,201,62,17,0,11,472
