label,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,136,2,0,61,98,0,5,55,6,3,0,4,5,0,11,53,1,19,54,80,7,23,0,0,39
1,1,17,0,14,14,0,2,0,3,0,0,12,0,0,1,4,0,0,3,2,1,0,0,0,3
2,0,0,15,0,0,0,0,3,0,0,1,0,0,2,0,1,0,0,0,0,0,3,0,0,0
3,82,16,0,355,224,0,5,24,17,24,0,54,48,0,18,38,5,18,159,58,35,12,0,7,127
4,88,8,2,263,243,0,7,37,21,6,0,22,41,0,20,44,6,29,120,81,40,28,0,2,92
5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,6,0,0,3,3,0,12,8,0,0,0,1,0,0,0,29,5,0,0,9,0,1,0,0,1
7,49,1,7,17,22,0,3,151,8,0,0,0,0,4,5,82,12,17,16,17,5,83,0,0,8
8,22,0,0,15,33,0,0,10,27,4,0,3,4,0,2,13,3,24,12,8,5,11,0,0,9
9,3,1,1,12,3,0,0,0,6,29,0,4,4,0,0,0,0,4,7,0,25,0,0,7,14
10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11,0,9,0,43,25,0,0,2,2,7,0,49,0,0,2,6,0,1,7,8,0,0,0,1,18
12,3,0,0,33,31,0,0,0,11,6,0,0,46,0,9,4,0,0,64,10,20,4,0,1,18
13,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14,9,1,0,18,17,0,0,4,3,0,0,1,6,0,20,12,0,1,1,28,1,4,0,0,9
15,62,11,1,25,47,0,22,85,6,0,1,2,0,0,15,100,11,20,26,31,1,36,0,0,13
16,0,0,1,1,2,0,6,18,2,0,0,0,0,0,0,14,4,2,2,6,0,3,0,0,0
17,25,0,3,12,40,0,0,17,29,0,0,0,0,0,4,43,1,69,24,14,0,31,0,0,8
18,63,6,0,153,132,0,2,24,18,7,0,11,37,0,2,17,4,15,109,41,26,13,0,4,67
19,72,4,0,70,94,0,6,10,7,0,1,3,10,0,20,34,2,9,31,77,2,8,1,0,38
20,7,0,0,34,35,0,0,4,12,28,0,1,12,0,2,3,0,2,33,3,25,0,0,9,8
21,21,0,6,6,31,0,2,88,3,0,0,0,6,0,1,54,4,29,0,10,0,67,0,0,4
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
23,0,1,0,4,1,0,0,0,0,3,0,1,0,0,0,0,0,0,7,0,4,0,0,35,0
24,34,2,0,150,88,0,0,7,3,8,0,11,12,0,7,15,1,7,37,28,13,7,0,7,43
