label,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,1330,94,193,454,0,169,141,4,1,10,3,255,190,18,123,153,9,19,528,562,280,1052,233,235,142
1,97,9167,2912,560,128,1475,3532,15,0,21,167,2246,530,335,28,1310,2056,285,1464,399,30,445,4171,1647,4342
2,220,3062,3485,845,153,724,635,56,6,88,64,1269,136,1006,86,377,832,604,1737,615,41,634,2770,1791,1311
3,451,637,855,1618,1,665,627,6,2,12,31,871,365,71,241,431,103,77,1178,1028,158,1228,794,655,895
4,2,221,82,5,193,10,49,1,0,0,85,14,3,10,0,13,105,13,8,2,0,3,55,40,36
5,260,1507,929,712,14,1871,1231,3,0,18,32,1300,457,139,55,644,215,73,1483,415,62,571,1233,882,1495
6,112,3512,678,519,29,1112,4407,4,1,20,52,1143,993,147,31,1343,1040,83,826,247,99,231,1474,888,2495
7,2,16,46,1,8,2,0,138,12,17,0,2,2,16,6,0,3,33,6,17,0,10,7,12,7
8,0,0,7,2,0,0,0,3,59,1,1,0,0,1,3,0,1,3,7,3,4,2,1,1,0
9,10,22,59,11,7,19,27,14,6,170,1,20,8,20,6,6,16,208,30,21,0,16,49,36,28
10,1,139,59,12,129,21,69,1,0,0,322,20,2,6,0,18,121,7,24,2,0,4,84,42,102
11,258,2105,1380,973,6,1437,1059,4,1,16,11,1906,348,292,107,841,265,265,1580,559,51,638,1434,1803,2119
12,127,516,125,182,3,414,829,0,0,3,2,248,1673,29,19,911,105,21,433,86,47,148,177,147,586
13,25,366,837,66,13,108,149,24,0,33,8,376,43,458,11,48,169,323,330,64,7,83,709,380,321
14,160,32,52,257,0,47,36,4,3,1,0,71,9,6,480,22,10,8,197,241,190,486,64,82,38
15,112,1130,526,402,11,679,1242,1,0,2,7,824,808,68,42,1744,204,48,762,175,61,288,958,356,1461
16,8,2044,916,105,139,198,966,8,2,9,94,322,97,255,6,208,1175,107,385,117,14,90,1050,387,587
17,73,305,462,55,18,70,96,43,10,182,4,390,31,264,16,58,229,682,248,109,6,88,451,271,264
18,519,1565,1845,1243,11,1347,995,7,24,13,20,1581,553,348,265,925,334,207,3232,1393,128,1489,1625,1181,1552
19,538,570,780,883,3,389,259,6,1,26,9,566,143,60,209,234,133,144,1239,1694,243,1246,663,659,385
20,284,21,47,137,0,70,103,3,2,4,0,43,44,5,162,23,5,7,129,218,460,311,28,35,34
21,1081,323,606,1203,0,552,207,8,4,20,1,613,237,85,610,287,52,97,1199,1317,354,3787,494,655,422
22,189,4084,2769,764,57,1222,1406,21,3,69,68,1651,196,707,45,861,1026,388,1672,569,38,510,5088,1881,2457
23,228,1665,1627,852,29,904,788,21,2,16,49,1386,168,371,134,391,307,259,1612,692,47,847,1561,1571,1545
24,164,3862,1292,704,35,1318,2599,1,0,13,85,2398,620,297,41,1405,544,270,1634,309,47,338,2445,1629,4655
