label,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,2973,107,236,537,1,231,160,4,2,10,4,350,263,26,265,170,12,23,714,780,483,1913,297,342,173
1,115,23363,4343,729,233,1852,9172,15,0,23,302,3570,935,454,40,1963,4628,307,1859,475,45,561,8488,2228,8505
2,236,4608,7279,967,181,875,1105,65,8,91,92,2143,182,1589,129,495,1372,749,2173,737,65,986,5985,2649,2198
3,606,1181,1201,2866,1,1035,977,10,4,12,35,1293,575,87,563,593,138,85,1920,1302,257,2056,1212,1119,1323
4,2,308,99,6,329,29,57,2,0,0,158,16,4,11,0,16,123,16,10,3,0,3,76,44,43
5,318,2679,1247,851,34,3146,2081,3,0,18,37,2720,599,172,127,912,289,87,2061,481,84,760,2253,1445,2833
6,134,8761,1045,567,45,1351,18160,6,1,22,131,2202,2871,195,40,2730,2064,103,1005,262,108,270,2487,1137,6577
7,2,19,73,2,13,2,3,363,22,28,0,3,2,46,23,1,9,40,8,19,0,14,19,15,12
8,0,0,9,2,0,0,0,12,204,4,1,1,0,1,10,0,1,3,7,3,4,3,1,1,0
9,24,26,105,13,7,20,29,32,9,344,1,26,8,35,8,6,17,300,38,48,2,26,69,36,37
10,1,293,78,13,204,33,170,1,0,0,853,24,6,9,0,20,292,8,39,2,0,4,113,46,116
11,289,3746,2439,1140,9,2152,2438,9,1,18,22,5476,534,590,144,1117,425,320,2316,642,81,832,3462,2786,5118
12,161,704,140,213,4,471,1692,0,0,3,3,343,3792,33,21,1340,143,21,488,92,58,188,206,160,771
13,38,509,1682,86,19,149,211,48,1,40,14,749,48,953,14,61,300,449,384,73,11,120,1290,550,479
14,211,37,70,367,0,88,39,24,16,3,0,108,10,9,1266,22,15,8,296,314,281,825,79,129,42
15,131,1761,684,470,13,842,2430,3,0,2,8,1128,1616,90,49,2968,300,60,980,197,72,328,1224,468,2440
16,11,4555,1405,129,159,236,2048,11,2,9,289,431,152,322,10,270,2868,152,421,127,14,104,1858,520,1042
17,79,380,887,63,22,88,163,55,16,205,8,533,32,573,26,78,292,1127,276,116,7,107,674,342,446
18,690,2420,2810,1765,12,2066,1424,16,24,14,33,3195,830,404,487,1249,468,231,5254,1833,221,2193,2828,2195,2720
19,872,1042,1133,1406,3,569,409,11,4,38,10,914,202,73,490,267,176,148,1884,3022,384,2216,934,977,584
20,556,33,57,165,0,85,106,5,5,4,0,75,77,5,433,32,7,7,159,254,985,564,39,71,38
21,2116,711,1010,1734,0,776,259,18,8,33,1,939,338,108,1360,358,106,101,1782,2021,689,8303,755,947,574
22,206,8570,5489,898,72,1702,2413,26,3,73,139,3650,283,1161,65,1065,1934,471,2150,635,50,636,12205,2651,4950
23,311,2553,2850,1020,32,1367,1256,23,2,18,72,2486,200,527,191,496,436,291,2201,794,75,1050,3022,2976,2705
24,181,8273,2225,805,44,1850,7146,11,0,15,152,5126,1099,411,56,2347,1018,366,2129,366,48,457,5087,2394,13378
