station_id,SF-M26,SF-M25,SF-M26-2,SF-L27,SF-K26,SF-J27,SF-M30,SF-L27-2,SF-J29-3,SF-J29,SF-L26,SF-M28,SF-M27,SF-L25,SF-M24,SF-L24,SF-N23,SF-N24-2,SF-K27-2,SF-J26-2,SF-K28-3,SF-L28,SF-K28,SF-K29-1,SF-J28-2,SF-K27,SF-K25,SF-J25,SF-H26-2,SF-P24,SF-N22-1A,SF-J24,SF-O24,SF-J26,SF-I26-,SF-I25,SF-K23,SF-H26,SF-O23,SF-H27-1,SF-F28-2,SF-G27,SF-M22-2,SF-L22,SF-F27,SF-N22-2,SF-G28-2,SF-G28-1,SF-M22-1,SF-O25-1,SF-K22-2,SF-K24,SF-J23-2,SF-G23,SF-G24,SF-G25,SF-F23,SF-E23,SF-D24,SF-C22,SF-B22,SF-J17,SF-I19,SF-I20,SF-H16,SF-H19,SF-H20,SF-H18,SF-H17,SF-G19,SF-G17,SF-G18,SF-G20,SF-F19,SF-E18,SF-E20,SF-H30,SF-G30-2,SF-F30-1,SF-E29-2,SF-E29-1,SF-D29,SF-D28,SF-A27,SF-G29-2,SF-G29-1,SF-G30-1,SF-G29-3,SF-F30-2,SF-F29,SF-E29-3,SF-F28-1,SF-E28-2,SF-E28,SF-J10,SF-J12,SF-J13,SF-J15,SF-J14,SF-H13,SF-I16,SF-H12,SF-G10-2,SF-H15,SF-G9,SF-H14,SF-G13,SF-G11,SF-G12,SF-G10-1,SF-F15,SF-F16,SF-C21,SF-C20,SF-B21,SF-B19,SF-A20,SF-A19,SF-C26,SF-C25,SF-B25,SF-E27,SF-B28-2,SF-D27,SF-C28-2,SF-C28-1,SF-B28,SF-J1,SF-H0,SF-J3,SF-J5,SF-G6,SF-G8,SF-G5,SF-G7,SF-F9,SF-H25,SF-G26,SF-K21,SF-K22-1,SF-J23-1,SF-J22-1,SF-J22-2,SF-J21,SF-I21,SF-I22,SF-I23-2,SF-I24,SF-I23-1,SF-F26,SF-M13,SF-M15,SF-L19,SF-L20,SF-N20-1,SF-M20,SF-K17-2,SF-K20,SF-K15-,SF-K19,SF-K18,SF-K17,SF-J16,SF-J18,SF-J20,SF-J19,SF-O12,SF-M12,SF-M10,SF-M11,SF-R19,SF-R20,SF-Q21-2,SF-Q21-1,SF-P21,SF-O18,SF-O19,SF-O21,SF-O22,SF-N21,SF-N20-2,SF-M21,SF-L21,SF-S29,SF-S30,SF Depot,SF-Q30,SF-P30,SF-O30-2,SF-O30,SF-N27,SF-N29,SF-N28,SF-L30-1,SF-L31-1,SF-K30-2,SF-L29,SF-J29-1,SF-I30,SF-I29-2,SF-I27,SF-I28,SF-I30-2,SF I29-1,SF-H28,SF-H29,SF-S24,SF-R24,SF-R26,SF-Q26,SF-P26,SF-O25-2,SF-N22-1B,SF-N26,SF-N25,SF-T21,SF-T22,SF-S22-2,SF-S22-1,SF-Q23-3,SF-Q22-1,SF-Q22-2,SF-P22,SF-W19,SF-W19-2,SF-U21,SF-T20,SF-S21,SF-AA28,SF-Z28,SF-Y29,SF-Y30,SF-Y27,SF-X30,SF-X29,SF-W29,SF-V28,SF-V29,SF-V30,SF-V31,SF-V32,SF-U30,SF-W14,SF-Z7,SF-Z6,SF-W8,SF-BB17,SF-AA15,SF-Z16,SF-Y14,SF-X14,SF-X19,SF-Y25
SF-M26,12,1,2,1,0,1,1,2,0,16,4,10,1,3,0,2,1,1,0,0,0,1,1,2,1,1,6,3,0,0,0,0,0,1,0,3,0,2,0,0,2,5,3,1,2,8,0,0,11,0,0,1,0,14,0,1,3,3,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,1,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,6,1,0,1,13,3,0,1,0,3,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,4,1,4,0,2,3,3,0,0,0,0,1,0,15,3,2,0,1,0,0,7,1,2,0,2,0,1,0,1,0,1,3,1,3,3,1,0,0,0,0,3,0,1,1,2,3,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SF-M25,0,8,7,3,16,1,8,0,2,8,6,7,1,11,3,12,2,4,9,6,2,8,1,3,4,6,22,23,5,1,7,13,3,4,7,3,2,9,6,2,2,1,18,13,5,18,0,0,5,3,5,9,0,2,11,4,8,2,0,2,1,8,9,2,0,0,0,0,1,3,0,1,3,2,0,4,1,6,1,2,0,1,2,0,9,2,3,1,2,0,0,0,1,0,0,4,0,0,0,0,1,1,1,0,0,0,0,0,2,0,0,16,0,0,0,0,1,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2,13,10,22,6,7,2,1,3,0,0,1,9,1,6,7,6,5,26,4,4,2,5,2,2,0,4,3,1,0,1,0,0,7,3,5,4,7,11,10,15,11,6,3,25,13,0,0,0,3,1,1,11,10,1,14,10,2,3,5,1,4,2,1,0,0,0,5,1,18,24,2,7,8,10,32,3,2,0,3,5,6,3,4,8,6,0,0,1,10,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
SF-M26-2,1,9,71,6,3,2,2,1,2,30,1,22,0,3,2,22,3,0,0,17,1,15,2,12,18,2,1,46,5,9,1,1,0,6,0,5,0,14,5,0,3,6,6,5,12,6,0,5,4,4,7,5,15,40,3,1,6,5,3,5,0,3,1,0,0,0,4,0,0,3,0,0,1,0,1,2,12,6,2,2,6,14,2,0,24,71,4,14,0,44,2,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,2,0,1,0,5,6,1,5,4,0,2,0,3,1,1,1,1,0,0,0,0,0,1,1,0,2,2,48,6,33,16,20,4,1,0,8,2,3,6,0,2,1,1,8,2,1,1,6,0,6,2,0,4,2,0,0,0,5,1,0,0,4,1,2,9,4,7,8,7,5,4,7,0,0,0,6,4,2,19,61,6,17,10,0,1,42,5,1,0,6,2,1,2,3,1,3,22,1,2,1,5,4,0,0,0,0,3,3,0,10,7,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1
SF-L27,0,3,1,23,0,4,16,2,2,34,1,11,0,0,2,4,0,3,1,5,4,1,8,4,2,0,1,3,5,1,1,4,1,7,0,7,0,6,2,2,11,4,1,1,3,4,8,3,2,2,8,3,1,1,0,3,6,1,2,0,0,4,2,1,0,0,1,0,0,3,0,1,3,0,0,1,3,3,4,0,2,3,2,1,9,8,16,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,3,2,0,5,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,4,4,2,1,0,0,0,1,28,1,0,2,0,0,1,0,0,0,3,1,3,0,2,0,0,3,0,0,0,0,4,0,0,0,0,12,1,1,4,4,0,2,3,0,0,0,3,4,0,4,4,1,0,7,0,0,3,7,5,0,10,0,3,0,8,1,0,1,1,2,0,2,1,2,0,1,1,0,2,0,4,2,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SF-K26,0,20,14,4,43,4,6,0,7,28,3,33,2,8,6,13,4,6,4,6,1,8,23,10,13,0,6,29,3,6,0,35,2,8,5,45,0,10,5,1,9,21,7,2,6,17,0,1,8,8,6,5,5,13,56,15,7,6,1,0,0,2,1,1,0,0,9,0,1,3,2,0,4,3,0,1,0,5,2,2,5,5,0,2,7,10,26,3,0,2,0,2,1,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,10,0,7,7,4,4,0,2,1,2,2,1,2,0,1,0,1,0,1,0,2,4,9,5,24,22,11,11,1,0,5,9,27,8,2,5,5,10,6,7,0,6,9,4,3,6,0,5,4,21,0,3,1,0,3,2,3,7,3,75,4,13,13,16,4,8,8,0,0,0,12,6,3,32,19,2,11,26,32,7,12,4,7,4,4,5,7,1,6,0,6,14,5,6,8,10,1,7,4,10,3,2,0,7,9,7,8,6,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
SF-J27,0,4,3,3,2,50,1,1,10,28,1,6,0,3,1,2,1,0,3,4,0,29,5,9,3,5,0,7,2,2,1,15,0,3,3,12,0,5,2,5,7,4,8,4,4,4,3,5,3,2,3,6,1,10,3,10,4,25,1,1,0,2,2,19,0,0,0,1,0,1,2,45,1,0,0,0,1,4,0,0,0,1,1,1,18,6,10,3,0,3,3,7,2,1,2,1,3,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,3,0,1,4,2,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,4,9,6,6,14,0,3,13,0,1,0,3,6,1,0,3,1,3,0,1,0,1,3,8,0,0,1,1,3,3,1,0,1,2,0,2,2,1,1,1,0,2,5,5,0,6,14,0,1,0,1,2,4,4,0,3,2,34,0,20,5,6,1,3,4,0,3,2,8,3,1,4,0,0,2,1,4,2,1,1,2,0,7,4,3,2,22,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SF-M30,7,24,4,23,11,6,91,19,13,24,7,18,0,8,7,5,7,7,26,38,0,6,2,332,47,3,20,9,6,17,0,27,6,17,14,36,2,19,13,6,37,28,16,54,15,62,0,0,5,39,4,11,2,2,5,5,5,10,2,1,5,48,11,5,2,1,4,0,0,4,1,33,3,6,2,2,13,10,19,100,69,32,5,15,6,2,11,2,0,33,7,3,2,0,0,34,1,0,0,0,0,5,0,0,0,0,2,0,3,0,1,6,0,10,0,28,3,1,25,16,5,0,2,6,2,2,5,0,3,1,0,0,2,3,0,0,0,6,13,4,14,5,8,4,1,59,5,8,4,13,64,17,19,8,15,55,1,16,11,38,8,4,3,18,1,10,0,12,3,6,15,0,46,17,5,9,7,67,24,30,59,50,49,2,1,0,28,77,9,71,23,7,19,67,2,15,52,10,5,7,8,2,6,6,10,2,27,23,7,4,106,55,6,6,3,1,3,8,1,12,29,69,34,0,1,4,2,2,0,0,0,0,1,0,1,4,2,6,4,0,13,1,1,0,0,0,0,0,0,0,0,0,53
SF-L27-2,1,2,2,1,1,4,3,7,3,17,1,14,0,0,0,0,0,1,0,10,0,2,0,4,4,1,2,1,1,0,0,0,0,7,2,7,0,4,2,1,7,4,1,2,0,1,2,1,0,0,2,0,0,3,1,7,2,2,0,0,0,2,1,1,0,1,1,0,0,8,0,0,1,0,0,1,3,1,0,0,1,0,0,0,1,0,3,2,0,2,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,5,5,4,0,4,1,1,1,0,0,1,1,2,6,1,3,0,1,2,2,1,0,3,1,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,3,2,1,2,1,0,2,4,0,2,2,0,2,0,10,2,0,0,3,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SF-J29-3,1,1,8,6,5,4,10,0,18,7,6,2,0,0,5,1,0,3,17,6,5,45,2,4,0,0,3,16,5,1,0,7,0,4,2,20,0,4,5,3,1,8,3,2,6,4,8,3,0,1,1,3,0,2,12,11,10,3,4,4,2,10,0,1,0,0,0,0,0,0,1,1,3,2,0,1,2,8,2,3,4,7,9,5,25,1,14,14,2,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,1,4,1,20,5,0,2,0,4,8,0,4,0,0,0,3,0,0,0,2,0,2,9,2,2,7,3,2,1,0,1,0,6,7,5,1,0,1,3,3,3,0,4,2,0,1,4,0,2,2,8,0,0,0,0,0,0,0,1,2,1,0,7,1,2,1,4,7,3,0,0,2,12,6,28,6,4,4,17,0,4,14,3,7,5,7,1,1,4,3,1,0,0,0,1,0,0,6,0,0,0,0,0,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SF-J29,10,10,35,41,11,12,42,25,6,74,40,49,21,13,9,4,12,1,20,28,3,22,12,9,8,7,25,47,10,4,4,14,1,5,7,86,0,18,7,9,17,27,8,31,20,20,15,7,5,2,3,11,3,6,20,50,40,8,4,2,6,7,2,2,0,0,5,0,0,1,11,1,35,3,1,3,5,11,7,9,16,12,22,3,11,12,13,25,3,12,4,0,0,10,1,4,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,3,52,16,5,54,10,5,1,1,5,16,0,4,2,0,0,4,0,0,0,2,1,16,51,3,5,78,10,7,10,6,3,4,11,13,52,2,3,3,3,2,7,4,26,12,5,3,9,1,8,6,12,0,1,0,2,6,1,1,4,2,4,2,20,19,6,0,11,14,0,1,0,8,8,12,33,20,12,9,12,1,4,12,14,12,6,54,1,3,6,10,6,10,8,1,1,2,3,20,1,4,0,1,1,1,1,11,3,6,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
