station_id,SF-M26,SF-M25,SF-M26-2,SF-L27,SF-K26,SF-J27,SF-M30,SF-L27-2,SF-J29-3,SF-J29,SF-L26,SF-M28,SF-M27,SF-L25,SF-M24,SF-L24,SF-N23,SF-N24-2,SF-K27-2,SF-J26-2,SF-K28-3,SF-L28,SF-K28,SF-K29-1,SF-J28-2,SF-K27,SF-K25,SF-J25,SF-H26-2,SF-P24,SF-N22-1A,SF-J24,SF-O24,SF-J26,SF-I26-,SF-I25,SF-K23,SF-H26,SF-O23,SF-H27-1,SF-F28-2,SF-G27,SF-M22-2,SF-L22,SF-F27,SF-N22-2,SF-G28-2,SF-G28-1,SF-M22-1,SF-O25-1,SF-K22-2,SF-K24,SF-J23-2,SF-G23,SF-G24,SF-G25,SF-F23,SF-E23,SF-D24,SF-C22,SF-B22,SF-J17,SF-I19,SF-I20,SF-H16,SF-H19,SF-H20,SF-H18,SF-H17,SF-G19,SF-G17,SF-G18,SF-G20,SF-F19,SF-E18,SF-E20,SF-H30,SF-G30-2,SF-F30-1,SF-E29-2,SF-E29-1,SF-D29,SF-D28,SF-A27,SF-G29-2,SF-G29-1,SF-G30-1,SF-G29-3,SF-F30-2,SF-F29,SF-E29-3,SF-F28-1,SF-E28-2,SF-E28,SF-J10,SF-J12,SF-J13,SF-J15,SF-J14,SF-H13,SF-I16,SF-H12,SF-G10-2,SF-H15,SF-G9,SF-H14,SF-G13,SF-G11,SF-G12,SF-G10-1,SF-F15,SF-F16,SF-C21,SF-C20,SF-B21,SF-B19,SF-A20,SF-A19,SF-C26,SF-C25,SF-B25,SF-E27,SF-B28-2,SF-D27,SF-C28-2,SF-C28-1,SF-B28,SF-J1,SF-H0,SF-J3,SF-J5,SF-G6,SF-G8,SF-G5,SF-G7,SF-F9,SF-H25,SF-G26,SF-K21,SF-K22-1,SF-J23-1,SF-J22-1,SF-J22-2,SF-J21,SF-I21,SF-I22,SF-I23-2,SF-I24,SF-I23-1,SF-F26,SF-M13,SF-M15,SF-L19,SF-L20,SF-N20-1,SF-M20,SF-K17-2,SF-K20,SF-K15-,SF-K19,SF-K18,SF-K17,SF-J16,SF-J18,SF-J20,SF-J19,SF-O12,SF-M12,SF-M10,SF-M11,SF-R19,SF-R20,SF-Q21-2,SF-Q21-1,SF-P21,SF-O18,SF-O19,SF-O21,SF-O22,SF-N21,SF-N20-2,SF-M21,SF-L21,SF-S29,SF-S30,SF Depot,SF-Q30,SF-P30,SF-O30-2,SF-O30,SF-N27,SF-N29,SF-N28,SF-L30-1,SF-L31-1,SF-K30-2,SF-L29,SF-J29-1,SF-I30,SF-I29-2,SF-I27,SF-I28,SF-I30-2,SF I29-1,SF-H28,SF-H29,SF-S24,SF-R24,SF-R26,SF-Q26,SF-P26,SF-O25-2,SF-N22-1B,SF-N26,SF-N25,SF-T21,SF-T22,SF-S22-2,SF-S22-1,SF-Q23-3,SF-Q22-1,SF-Q22-2,SF-P22,SF-W19,SF-W19-2,SF-U21,SF-T20,SF-S21,SF-AA28,SF-Z28,SF-Y29,SF-Y30,SF-Y27,SF-X30,SF-X29,SF-W29,SF-V28,SF-V29,SF-V30,SF-V31,SF-V32,SF-U30,SF-W14,SF-Z7,SF-Z6,SF-W8,SF-BB17,SF-AA15,SF-Z16,SF-Y14,SF-X14,SF-X19,SF-Y25
SF-M26,42,3,8,2,4,1,5,4,1,23,6,13,1,6,0,3,2,1,5,0,1,2,3,6,4,2,7,6,0,0,0,4,0,2,0,3,1,6,1,5,2,6,3,3,5,12,0,0,16,0,0,1,1,14,0,1,4,3,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,2,0,3,0,29,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,1,2,6,1,0,1,13,3,0,1,0,3,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,1,5,1,4,1,2,4,3,0,0,0,1,1,1,17,4,3,4,5,2,0,14,2,4,0,2,0,2,0,1,0,1,3,1,3,3,1,2,3,1,0,4,0,4,2,2,5,3,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SF-M25,3,44,13,8,30,4,14,1,7,16,17,13,2,26,13,33,5,10,43,16,4,11,3,5,12,12,34,37,6,4,10,21,5,5,10,8,3,21,9,2,3,6,23,14,6,30,0,0,8,3,12,30,2,2,15,5,9,2,0,3,2,8,9,4,0,0,2,0,1,3,0,5,4,2,0,4,4,14,2,2,2,1,4,0,12,19,4,2,7,1,0,0,1,1,0,4,0,0,0,0,1,1,1,0,0,0,0,0,2,0,0,19,0,0,0,0,3,0,0,3,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,5,4,13,19,39,14,13,7,1,3,3,1,5,9,1,6,9,8,8,30,5,4,3,6,3,3,0,4,6,6,0,1,0,0,8,3,5,4,7,11,19,26,17,12,4,34,17,0,2,0,5,6,1,20,14,1,35,18,3,4,10,1,13,6,2,0,1,0,12,1,20,34,4,10,8,19,83,7,3,0,11,6,9,5,5,17,11,0,0,1,10,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1
SF-M26-2,9,17,154,26,11,4,7,10,7,82,47,40,1,18,7,40,9,0,3,19,3,46,4,16,41,5,10,56,9,12,1,3,0,9,2,10,0,17,5,15,3,7,9,6,15,16,2,6,4,6,8,12,22,43,3,1,7,7,3,7,2,3,1,1,0,0,7,0,0,4,0,1,1,0,1,3,24,22,3,42,19,16,2,18,30,72,9,16,0,45,2,8,1,2,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,2,0,1,0,5,9,4,6,4,3,2,0,4,1,5,3,1,0,0,0,2,0,1,1,0,2,3,49,6,43,52,23,7,1,0,9,2,3,8,0,2,1,1,8,2,1,1,7,2,6,2,0,4,3,2,0,0,5,1,0,0,5,1,2,10,4,12,14,12,8,4,9,0,0,0,9,7,5,33,121,10,34,33,1,2,76,12,11,4,10,2,3,2,5,3,3,26,1,3,4,8,7,4,0,0,6,4,7,3,10,7,24,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1
SF-L27,0,7,4,59,9,7,32,5,10,85,5,18,0,4,4,11,3,4,5,9,11,11,16,12,4,4,1,6,5,2,1,8,1,17,0,11,2,10,3,6,13,8,1,3,5,8,8,3,3,2,10,10,1,1,1,3,6,1,2,0,0,4,2,1,0,0,1,0,0,4,0,1,3,0,0,1,8,9,5,2,6,12,2,1,13,8,23,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,3,2,0,6,1,2,2,0,1,0,3,6,0,0,0,0,0,1,0,0,0,1,0,1,6,6,5,5,1,0,1,1,2,29,2,1,2,1,1,3,0,0,6,4,1,3,0,2,0,2,3,0,0,0,0,4,0,1,0,0,13,1,4,6,6,0,4,3,0,0,0,4,4,0,10,23,4,0,13,3,2,12,20,12,0,35,4,4,1,13,1,1,5,1,2,1,2,1,3,0,1,2,0,2,0,5,2,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SF-K26,9,34,19,7,77,11,17,3,18,46,5,47,8,20,17,27,10,7,23,17,5,57,31,37,46,6,18,57,8,15,1,57,5,13,5,57,4,16,12,4,10,28,10,4,8,40,2,2,16,9,16,14,14,15,59,15,10,8,2,0,0,3,1,2,0,0,10,1,1,3,2,0,5,4,1,2,1,9,2,3,11,8,3,4,13,12,34,7,0,2,0,3,1,3,0,1,1,2,0,1,0,0,0,0,0,0,0,0,1,1,0,1,3,1,1,1,13,1,7,7,6,4,1,5,1,2,7,2,2,0,1,0,1,0,1,0,4,5,10,11,45,35,16,24,1,4,9,17,31,11,2,5,5,14,7,11,0,7,9,4,3,7,0,5,7,22,0,3,1,0,3,2,3,11,3,76,7,20,14,23,4,13,10,1,0,0,23,12,6,56,47,8,29,113,58,10,51,4,22,9,8,9,25,1,9,0,10,21,7,6,8,18,4,8,4,11,4,3,0,10,11,11,19,6,1,0,1,3,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1
SF-J27,4,10,4,6,8,72,3,2,17,36,3,9,1,6,2,4,3,0,24,13,1,41,5,19,7,7,18,18,9,3,1,28,1,12,5,17,1,16,2,6,12,8,8,4,8,6,3,7,6,2,4,9,4,10,4,12,7,26,1,1,2,2,2,20,0,0,0,1,0,1,2,46,1,0,0,2,1,6,4,6,7,2,2,1,26,8,11,5,2,4,3,7,2,1,2,1,3,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,3,0,2,5,4,0,0,5,1,0,1,0,0,0,0,0,0,0,1,0,4,13,7,8,33,4,4,17,0,4,1,3,7,10,0,3,1,3,0,2,1,2,4,9,0,0,2,1,3,4,1,0,1,2,0,2,2,1,1,1,0,3,6,5,0,6,15,1,1,0,2,6,12,11,3,10,3,41,0,31,8,9,2,9,11,0,3,4,18,3,1,10,0,0,2,3,4,2,3,1,3,0,7,7,3,5,28,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SF-M30,11,31,10,36,47,6,232,32,57,46,18,95,8,86,11,11,11,9,40,71,0,34,3,474,51,10,33,96,11,23,0,71,10,21,17,46,3,36,20,16,41,54,31,56,23,87,0,2,5,43,5,12,5,3,6,7,7,12,2,1,6,49,11,6,2,3,4,0,0,4,1,35,3,7,4,2,33,77,25,327,143,68,16,57,24,15,44,6,2,61,11,7,2,2,0,34,1,0,0,0,0,5,1,0,0,0,2,0,3,0,3,6,0,11,0,30,7,1,26,18,12,2,3,13,2,3,43,0,3,2,0,0,2,3,0,0,2,9,14,5,26,9,10,6,6,65,10,10,5,16,65,33,20,13,18,163,1,19,11,40,8,4,4,18,18,17,0,13,3,6,15,0,46,20,5,10,8,73,34,43,64,105,53,8,29,0,52,124,52,362,75,37,87,203,12,45,89,19,18,15,17,6,8,6,22,2,31,29,10,6,128,138,15,15,4,2,31,10,1,16,48,71,39,0,2,5,2,2,0,0,0,0,2,0,1,4,4,16,7,0,16,1,1,0,0,0,0,0,0,0,0,0,79
SF-L27-2,2,4,3,5,5,6,5,34,5,77,4,25,0,2,4,1,12,2,8,32,5,11,16,7,7,5,11,7,1,0,0,3,0,9,4,11,0,11,3,3,9,13,1,4,0,27,2,2,0,2,2,0,0,5,5,10,3,2,0,0,1,2,1,1,0,1,1,0,0,8,0,0,1,0,0,1,3,7,1,0,5,2,0,2,4,0,3,2,0,3,1,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,5,6,3,0,0,4,1,3,6,0,0,0,0,0,0,0,1,0,5,6,5,0,11,5,1,1,0,1,1,6,7,6,4,4,0,1,2,2,1,15,4,1,0,0,3,1,2,0,0,1,0,1,0,0,0,0,0,0,1,0,2,0,2,0,6,1,0,0,5,3,4,12,2,6,4,40,5,6,8,5,6,5,12,2,1,1,5,2,0,1,0,0,0,0,3,0,2,1,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SF-J29-3,1,2,18,12,8,7,57,2,116,21,11,8,0,2,7,1,3,4,56,12,7,71,7,17,2,1,11,28,10,4,1,9,1,8,4,28,1,17,6,10,5,24,4,2,9,4,8,4,3,2,1,5,2,3,16,12,12,4,4,6,5,10,1,1,0,0,0,0,0,1,1,2,5,2,0,1,26,27,5,7,20,44,25,21,48,3,37,21,13,7,1,5,1,30,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,3,5,1,23,6,8,6,0,6,23,3,13,0,0,0,3,1,0,5,2,0,2,18,2,4,12,3,3,1,0,1,2,7,8,10,1,0,1,5,3,4,0,5,2,0,1,4,0,2,3,9,0,0,1,1,0,0,0,1,2,1,0,9,1,4,1,5,8,3,1,0,3,17,22,82,12,6,10,105,2,35,71,20,22,10,16,13,2,6,56,3,0,2,0,1,1,0,10,0,0,0,0,0,3,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SF-J29,12,15,60,75,22,18,61,66,9,171,129,60,26,23,13,10,16,1,62,61,19,35,50,19,15,19,33,84,16,6,5,45,2,14,15,94,2,53,14,28,20,45,16,51,27,31,17,11,14,3,6,15,7,8,20,53,44,11,4,4,8,8,2,3,0,0,7,0,0,2,11,2,40,3,1,5,21,23,13,17,24,18,64,11,21,15,46,27,7,20,4,1,0,111,2,4,4,1,0,0,2,0,0,0,1,0,0,0,1,0,1,0,0,2,3,55,19,6,60,11,12,2,7,6,27,1,14,2,0,0,4,0,0,0,3,1,16,70,3,9,100,18,12,12,8,5,5,15,14,88,4,5,4,6,2,11,4,30,15,6,4,9,1,8,10,17,0,1,0,2,7,1,1,4,3,6,4,23,28,10,0,13,20,2,1,3,10,13,18,60,31,18,25,33,5,13,27,28,36,12,86,6,7,9,29,8,12,10,1,2,5,7,25,1,5,0,2,1,2,6,15,4,6,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
