station_id1,station_id2,all,classic,electric,elevation_change,displacement
SF-G27,SF-J23-1,478,316,162,-3.0,1515.2681325467545
SF-K29-1,SF-M30,474,142,332,-1.0,1012.176980886118
SF-J1,SF-K15-,461,229,232,-66.0,4878.1250591859125
SF-J23-1,SF-L21,439,239,200,-18.0,1187.0154798372291
SF-L30-1,SF-O30,432,316,116,-10.0,965.5325408846942
SF-L21,SF-J23-1,410,153,257,18.0,1187.0154798372291
SF-O30,SF-L30-1,392,245,147,10.0,965.5325408846942
SF-H26,SF-J23-1,369,231,138,-4.0,1116.7273947117992
SF-O30,SF-M30,362,291,71,9.0,599.6567764253587
SF-J23-1,SF-G27,360,203,157,3.0,1515.2681325467545
SF-M30,SF-O30,350,296,54,-9.0,599.6567764253587
SF-B28,SF-D29,348,267,81,-1.0,1126.615256357112
SF-E29-2,SF-L30-1,342,211,131,0.0,2707.614527923517
SF-J23-1,SF-H26,335,224,111,4.0,1116.7273947117992
SF-E29-2,SF-M30,327,227,100,-1.0,3073.7819172154727
SF-M30,SF-K29-1,310,137,173,1.0,1012.176980886118
SF-M30,SF-E29-2,297,205,92,1.0,3073.7819172154727
SF-M21,SF-L26,291,84,207,18.0,1763.640167355973
SF-L26,SF-M21,290,132,158,-18.0,1763.640167355973
SF-J23-1,SF-I25,289,219,70,4.0,692.5139100618063
SF-L30-1,SF-E29-2,273,174,99,0.0,2707.614527923517
SF-E29-2,SF-A27,258,163,95,0.0,1355.4379630737135
SF-D29,SF-B28,255,224,31,1.0,1126.615256357112
SF-K29-1,SF-L30-1,255,185,70,0.0,649.6753228230896
SF-A27,SF-E29-2,246,186,60,0.0,1355.4379630737135
SF-M22-2,SF-H25,244,222,22,-1.0,2241.3428698519792
SF-K15-,SF-J1,238,107,131,66.0,4878.1250591859125
SF-N22-2,SF-L26,233,23,210,9.0,1477.305410904899
SF-M30,SF-P26,229,65,164,-16.0,1747.2059326705348
SF-I25,SF-J23-1,227,174,53,-4.0,692.5139100618063
SF-L30-1,SF-K29-1,227,150,77,0.0,649.6753228230896
SF-A27,SF-E29-1,224,189,35,0.0,1312.07598024995
SF-K19,SF-M13,219,97,122,-35.0,2049.371058453391
SF-K15-,SF-K17,219,148,71,11.0,995.6751671662096
SF-M26-2,SF-N27,218,67,151,-7.0,485.342546523412
SF-L26,SF-M20,218,58,160,-34.0,2146.7843664703328
SF-M13,SF-K20,217,126,91,42.0,2204.891691276596
SF-M11,SF-K15-,216,134,82,3.0,1480.3947235886476
SF-I25,SF-K18,216,90,126,-50.0,2570.7912084450754
SF-K29-1,SF-Q30,215,29,186,-3.0,2316.5424336583283
SF-E29-2,SF-J23-1,215,144,71,-14.0,2797.6047456466845
SF-A20,SF-C25,211,55,156,-17.0,2041.9757970608075
SF-G27,SF-I25,209,160,49,1.0,822.79629250079
SF-L26,SF-O22,209,70,139,-13.0,1689.6688293652726
SF-K29-1,SF-L29,207,192,15,0.0,399.55872684962577
SF-L30-1,SF-M30,203,136,67,-1.0,366.3805478079405
SF-J16,SF-M13,202,60,142,-14.0,1391.3796644429526
SF-A27,SF-D28,201,160,41,0.0,933.8041869084672
SF-L26,SF-N22-2,201,33,168,-9.0,1477.305410904899
SF-I28,SF-D27,200,164,36,-7.0,1629.38196702044
SF-A27,SF-D29,199,156,43,0.0,1203.159586820472
SF-D29,SF-H30,199,157,42,0.0,1599.0712430612184
SF-B25,SF-D29,198,170,28,7.0,1801.2587881186728
SF-D27,SF-I28,197,164,33,7.0,1629.38196702044
SF-M20,SF-J23-1,196,50,146,22.0,1680.1209665402455
SF-K15-,SF-K18,196,117,79,15.0,1291.190253242398
SF-H26-2,SF-C26,195,24,171,-9.0,1738.918913347055
SF-J23-1,SF-G24,192,98,94,-27.0,1142.2031822414408
SF-K15-,SF-M11,189,130,59,-3.0,1480.3947235886476
SF-O22,SF-L26,189,68,121,13.0,1689.6688293652726
SF-H25,SF-M22-2,188,171,17,1.0,2241.3428698519792
SF-M13,SF-J16,186,10,176,14.0,1391.3796644429526
SF-J21,SF-E23,185,145,40,-33.0,2026.8084762999065
SF-K29-1,SF-E29-2,180,59,121,0.0,2066.976786206263
SF-J1,SF-K17,180,123,57,-55.0,5855.730566476859
SF-P24,SF-O22,179,173,6,-8.0,780.1652709973175
SF-I25,SF-G27,179,121,58,-1.0,822.79629250079
SF-K15-,SF-J18,179,86,93,17.0,1477.0673341642853
SF-D28,SF-F30-1,176,166,10,0.0,921.5149362032354
SF-L21,SF-H26,176,58,118,22.0,2303.730815677498
SF-F28-2,SF-I30,175,150,25,3.0,1416.7949345328284
SF-K29-1,SF-L28,174,127,47,0.0,654.0272678686692
SF-M30,SF-L30-1,174,114,60,1.0,366.3805478079405
SF-O30,SF-K29-1,173,113,60,10.0,1605.5266685672177
SF-L26,SF-O18,173,71,102,-44.0,2850.1698056522982
SF-J23-1,SF-E29-2,172,71,101,14.0,2797.6047456466845
SF-K26,SF-G24,171,153,18,-40.0,1979.8234334051688
SF-F30-1,SF-D28,170,156,14,0.0,921.5149362032354
SF-I30,SF-F28-2,170,151,19,-3.0,1416.7949345328284
SF-J23-1,SF-M20,169,49,120,-22.0,1680.1209665402455
SF-J1,SF-J5,168,102,66,-50.0,1354.778297620123
SF-P30,SF-O30,166,109,57,-1.0,446.4812354755607
SF-G27,SF-H26,165,139,26,1.0,398.73914995150574
SF-G27,SF-E29-2,165,89,76,11.0,1282.580960552934
SF-J23-1,SF-J25,164,96,68,7.0,543.6556497749285
SF-K29-1,SF-O30,164,109,55,-10.0,1605.5266685672177
SF-L26,SF-J23-1,163,69,94,-12.0,1241.384426065127
SF-E29-1,SF-G24,163,67,96,-41.0,2178.82677553912
SF-M20,SF-M30,163,108,55,35.0,3545.1502719823043
SF-J18,SF-G18,162,13,149,18.0,947.2352785237192
SF-B28,SF-E29-1,162,137,25,-1.0,1238.2173578036316
SF-J23-1,SF-L26,161,36,125,12.0,1241.384426065127
SF-A27,SF-E29-3,161,150,11,-1.0,1494.7738843596833
SF-M20,SF-L26,160,35,125,34.0,2146.7843664703328
SF-G30-2,SF-F30-1,159,106,53,0.0,521.9645851450709
SF-P30,SF-K29-1,158,134,24,9.0,2029.808233912447
SF-E29-1,SF-K29-1,158,114,44,0.0,2155.808511889312
SF-L26,SF-I25,158,67,91,-8.0,1378.7444491373894
SF-G18,SF-J18,157,33,124,-18.0,947.2352785237192
SF-L30-1,SF-K22-1,157,98,59,-14.0,2665.637828569054
SF-K22-1,SF-J23-1,156,134,22,0.0,465.0083857632343
SF-K15-,SF-K19,155,74,81,25.0,1573.336975884961
SF-E29-3,SF-A27,154,151,3,1.0,1494.7738843596833
SF-K18,SF-K15-,154,87,67,-15.0,1291.190253242398
SF-G13,SF-N21,153,152,1,45.0,3500.8534133989274
SF-J13,SF-G13,153,88,65,8.0,688.3609743793982
SF-G19,SF-M20,153,144,9,1.0,1968.099450913168
SF-G24,SF-J23-1,153,29,124,27.0,1142.2031822414408
SF-L30-1,SF-M20,152,122,30,-36.0,3542.7179891869364
SF-J23-1,SF-F26,152,51,101,-10.0,1511.2346602234734
SF-J22-1,SF-T20,152,130,22,-17.0,3386.6365055925485
SF-E29-1,SF-H28,151,61,90,-5.0,1338.9012074036098
SF-P30,SF-L30-1,151,64,87,9.0,1401.1000608768545
SF-B22,SF-D29,151,125,26,27.0,2707.2689563550784
SF-M30,SF-M20,150,124,26,-35.0,3545.1502719823043
SF-N22-2,SF-J23-1,150,88,62,-3.0,1550.319085090651
SF-D29,SF-K29-1,150,74,76,0.0,2271.565752513146
SF-J13,SF-J12,149,76,73,2.0,607.8819739883581
SF-B28,SF-H30,149,123,26,-1.0,2705.0911419780778
SF-W19,SF-W14,149,68,81,-55.0,1501.3066828491933
SF-G30-1,SF-G27,149,88,61,-8.0,1175.9570932362903
SF-B25,SF-E29-1,148,108,40,7.0,1876.987674926609
SF-L21,SF-K22-1,148,79,69,18.0,722.0126813015476
SF-M13,SF-J10,147,84,63,17.0,1471.0799294166563
SF-N22-1B,SF-L21,147,123,24,-24.0,774.5146414914612
SF-B22,SF-E23,145,100,45,-27.0,939.6710003998668
SF-J29,SF-L26,145,71,74,-1.0,1319.075298346716
SF-G27,SF-J21,144,60,84,-10.0,2172.054977423644
SF-I30,SF-F27,144,110,34,-8.0,1492.1633686293796
SF-P26,SF-D27,143,92,51,8.0,4277.574130690475
SF-E29-1,SF-M30,143,74,69,-1.0,3159.75232837609
SF-J23-1,SF-M22-2,143,76,67,3.0,1329.6639793572235
SF-J21,SF-G27,142,60,82,10.0,2172.054977423644
SF-F28-2,SF-G27,141,86,55,-5.0,528.9753606483146
SF-D27,SF-H26,141,83,58,-1.0,1315.4490968262387
SF-H26,SF-G24,141,29,112,-31.0,809.3508876901485
SF-F28-1,SF-E27,140,120,20,-1.0,468.0145873991544
SF-E29-1,SF-H30,140,120,20,0.0,1481.36669323454
SF-K15-,SF-L21,139,30,109,43.0,2375.2646001052944
SF-J25,SF-J23-1,139,91,48,-7.0,543.6556497749285
SF-G29-1,SF-F26,139,131,8,-20.0,896.0633937416169
SF-J1,SF-J10,139,101,38,-59.0,3329.1428208889265
SF-H26,SF-L21,139,61,78,-22.0,2303.730815677498
SF-F28-2,SF-J23-1,139,70,69,-8.0,2042.36390700892
SF-F27,SF-E20,138,0,138,-58.0,2564.0230337385665
SF-O25-2,SF-M30,138,83,55,7.0,1900.0060901628472
SF-J1,SF-M13,138,79,59,-76.0,4603.295462952384
SF-I25,SF-G25,138,120,18,-24.0,700.3162671874824
SF-L30-1,SF-M13,137,101,36,-85.0,5869.423712815751
SF-C25,SF-B19,137,21,116,16.0,2229.6136880119907
SF-J12,SF-J13,137,81,56,-2.0,607.8819739883581
SF-B22,SF-B28,137,102,35,28.0,1984.965200048754
SF-B19,SF-B22,137,100,37,-22.0,1026.6567982380916
SF-F27,SF-L21,137,11,126,-21.0,3009.9246362700733
SF-C25,SF-A20,136,46,90,17.0,2041.9757970608075
SF-L30-1,SF-J17,135,39,96,-69.0,4536.979127146353
SF-K15-,SF-K20,135,70,65,32.0,1756.7808621766137
SF-B19,SF-A20,135,101,34,1.0,298.4737987304632
SF-M30,SF-M13,135,18,117,-84.0,5879.852590089205
SF-G27,SF-F28-2,134,83,51,5.0,528.9753606483146
SF-B25,SF-D28,134,105,29,7.0,1451.4146944009583
SF-F26,SF-J23-1,134,40,94,10.0,1511.2346602234734
SF-E29-2,SF-G27,134,96,38,-11.0,1282.580960552934
SF-D28,SF-A27,134,109,25,0.0,933.8041869084672
SF-K22-1,SF-H26,134,84,50,4.0,1581.718374660148
SF-I25,SF-M22-2,133,99,34,-1.0,1963.8530162718369
SF-E27,SF-E23,132,0,132,-52.0,1651.7834672195215
SF-C28-2,SF-G25,132,4,128,-30.0,1671.7218039641125
SF-A20,SF-B22,131,94,37,-23.0,836.9638198361213
SF-I30-2,SF-C25,131,16,115,-14.0,2638.082776578248
SF-M21,SF-P26,131,4,127,3.0,2093.2236403010656
SF-A27,SF-B22,131,86,45,-27.0,1882.4262566543343
SF-M20,SF-G19,131,119,12,-1.0,1968.099450913168
SF-E20,SF-F27,131,1,130,58.0,2564.0230337385665
SF-N21,SF-G13,131,129,2,-45.0,3500.8534133989274
SF-O21,SF-J23-1,130,67,63,1.0,1887.6350258627544
SF-A20,SF-B28,130,98,32,5.0,2771.14645215088
SF-J1,SF-K18,130,94,36,-51.0,6161.721343077208
SF-H26-2,SF-K25,130,97,33,0.0,1038.9890554042186
SF-K15-,SF-J16,130,69,61,4.0,699.9088791284904
SF-J18,SF-K15-,130,54,76,-17.0,1477.0673341642853
SF-E29-2,SF-L28,130,34,96,0.0,2542.428757888668
SF-J23-1,SF-N22-2,129,63,66,3.0,1550.319085090651
SF-R24,SF-L26,129,52,77,12.0,2078.9717808648484
SF-K22-1,SF-G27,129,75,54,3.0,1980.205596933751
SF-K15-,SF-J17,129,66,63,6.0,1199.4196169920806
SF-K17,SF-K15-,129,65,64,-11.0,995.6751671662096
SF-L26,SF-J29,129,89,40,1.0,1319.075298346716
SF-O23,SF-O30,128,108,20,0.0,2494.7614447177825
SF-L30-1,SF-J22-1,128,10,118,-19.0,2905.021457862744
SF-M24,SF-G24,128,111,17,-37.0,2222.7005169617023
SF-G29-1,SF-G30-2,128,36,92,4.0,899.5091876169813
SF-M26-2,SF-K21,128,105,23,-47.0,2096.016569124212
SF-L21,SF-G27,128,31,97,21.0,2702.1968863598318
SF-P26,SF-M30,128,22,106,16.0,1747.2059326705348
SF-M30,SF-L25,128,97,31,-3.0,1873.5214023916667
SF-D27,SF-G27,127,75,52,-2.0,1005.6899362012635
