,station_id,label
0,SF-M26,1
1,SF-M25,1
2,SF-M26-2,1
3,SF-L27,1
4,SF-K26,1
5,SF-J27,1
6,SF-M30,1
7,SF-L27-2,1
8,SF-J29-3,5
9,SF-J29,5
10,SF-L26,1
11,SF-M28,1
12,SF-M27,1
13,SF-L25,1
14,SF-M24,1
15,SF-L24,1
16,SF-N23,1
17,SF-N24-2,1
18,SF-K27-2,1
19,SF-J26-2,1
20,SF-K28-3,1
21,SF-L28,1
22,SF-K28,5
23,SF-K29-1,5
24,SF-J28-2,5
25,SF-K27,1
26,SF-K25,1
27,SF-J25,1
28,SF-H26-2,5
29,SF-P24,1
30,SF-N22-1A,1
31,SF-J24,1
32,SF-O24,1
33,SF-J26,1
34,SF-I26-,5
35,SF-I25,1
36,SF-K23,1
37,SF-H26,5
38,SF-O23,1
39,SF-H27-1,5
40,SF-F28-2,5
41,SF-G27,5
42,SF-M22-2,1
43,SF-L22,1
44,SF-F27,5
45,SF-N22-2,1
46,SF-G28-2,5
47,SF-G28-1,5
48,SF-M22-1,1
49,SF-O25-1,1
50,SF-K22-2,1
51,SF-K24,1
52,SF-J23-2,1
53,SF-G23,2
54,SF-G24,8
55,SF-G25,2
56,SF-F23,8
57,SF-E23,8
58,SF-D24,0
59,SF-C22,2
60,SF-B22,2
61,SF-J17,0
62,SF-I19,8
63,SF-I20,2
64,SF-H16,0
65,SF-H19,2
66,SF-H20,2
67,SF-H18,8
68,SF-H17,8
69,SF-G19,2
70,SF-G17,8
71,SF-G18,8
72,SF-G20,8
73,SF-F19,8
74,SF-E18,8
75,SF-E20,0
76,SF-H30,5
77,SF-G30-2,5
78,SF-F30-1,5
79,SF-E29-2,5
80,SF-E29-1,5
81,SF-D29,5
82,SF-D28,5
83,SF-A27,5
84,SF-G29-2,5
85,SF-G29-1,5
86,SF-G30-1,5
87,SF-G29-3,5
88,SF-F30-2,5
89,SF-F29,5
90,SF-E29-3,5
91,SF-F28-1,5
92,SF-E28-2,5
93,SF-E28,5
94,SF-J10,0
95,SF-J12,0
96,SF-J13,0
97,SF-J15,0
98,SF-J14,0
99,SF-H13,0
100,SF-I16,0
101,SF-H12,6
102,SF-G10-2,6
103,SF-H15,0
104,SF-G9,6
105,SF-H14,0
106,SF-G13,0
107,SF-G11,6
108,SF-G12,6
109,SF-G10-1,6
110,SF-F15,0
111,SF-F16,0
112,SF-C21,2
113,SF-C20,5
114,SF-B21,2
115,SF-B19,5
116,SF-A20,5
117,SF-A19,5
118,SF-C26,5
119,SF-C25,5
120,SF-B25,5
121,SF-E27,5
122,SF-B28-2,5
123,SF-D27,5
124,SF-C28-2,5
125,SF-C28-1,5
126,SF-B28,5
127,SF-J1,4
128,SF-H0,4
129,SF-J3,6
130,SF-J5,6
131,SF-G6,6
132,SF-G8,6
133,SF-G5,6
134,SF-G7,6
135,SF-F9,6
136,SF-H25,1
137,SF-G26,5
138,SF-K21,8
139,SF-K22-1,1
140,SF-J23-1,1
141,SF-J22-1,2
142,SF-J22-2,2
143,SF-J21,2
144,SF-I21,2
145,SF-I22,2
146,SF-I23-2,1
147,SF-I24,1
148,SF-I23-1,2
149,SF-F26,2
150,SF-M13,0
151,SF-M15,0
152,SF-L19,8
153,SF-L20,2
154,SF-N20-1,2
155,SF-M20,2
156,SF-K17-2,0
157,SF-K20,8
158,SF-K15-,0
159,SF-K19,8
160,SF-K18,8
161,SF-K17,8
162,SF-J16,0
163,SF-J18,8
164,SF-J20,2
165,SF-J19,8
166,SF-O12,7
167,SF-M12,0
168,SF-M10,0
169,SF-M11,0
170,SF-R19,8
171,SF-R20,8
172,SF-Q21-2,8
173,SF-Q21-1,2
174,SF-P21,2
175,SF-O18,8
176,SF-O19,2
177,SF-O21,1
178,SF-O22,1
179,SF-N21,2
180,SF-N20-2,2
181,SF-M21,2
182,SF-L21,2
183,SF-S29,1
184,SF-S30,4
185,SF Depot,1
186,SF-Q30,1
187,SF-P30,1
188,SF-O30-2,1
189,SF-O30,1
190,SF-N27,1
191,SF-N29,1
192,SF-N28,1
193,SF-L30-1,5
194,SF-L31-1,5
195,SF-K30-2,5
196,SF-L29,5
197,SF-J29-1,5
198,SF-I30,5
199,SF-I29-2,5
200,SF-I27,5
201,SF-I28,5
202,SF-I30-2,5
203,SF I29-1,5
204,SF-H28,5
205,SF-H29,5
206,SF-S24,1
207,SF-R24,1
208,SF-R26,1
209,SF-Q26,1
210,SF-P26,1
211,SF-O25-2,1
212,SF-N22-1B,1
213,SF-N26,1
214,SF-N25,1
215,SF-T21,2
216,SF-T22,2
217,SF-S22-2,2
218,SF-S22-1,2
219,SF-Q23-3,2
220,SF-Q22-1,2
221,SF-Q22-2,2
222,SF-P22,2
223,SF-W19,3
224,SF-W19-2,3
225,SF-U21,8
226,SF-T20,2
227,SF-S21,2
228,SF-AA28,4
229,SF-Z28,4
230,SF-Y29,4
231,SF-Y30,4
232,SF-Y27,4
233,SF-X30,4
234,SF-X29,4
235,SF-W29,4
236,SF-V28,4
237,SF-V29,4
238,SF-V30,4
239,SF-V31,4
240,SF-V32,4
241,SF-U30,4
242,SF-W14,7
243,SF-Z7,3
244,SF-Z6,3
245,SF-W8,3
246,SF-BB17,3
247,SF-AA15,3
248,SF-Z16,3
249,SF-Y14,7
250,SF-X14,7
251,SF-X19,3
252,SF-Y25,4
