station_id,label
SF-M26,1
SF-M25,1
SF-M26-2,1
SF-L27,1
SF-K26,1
SF-J27,1
SF-M30,1
SF-L27-2,1
SF-J29-3,5
SF-J29,5
SF-L26,1
SF-M28,1
SF-M27,1
SF-L25,1
SF-M24,1
SF-L24,1
SF-N23,1
SF-N24-2,1
SF-K27-2,1
SF-J26-2,1
SF-K28-3,1
SF-L28,1
SF-K28,5
SF-K29-1,5
SF-J28-2,5
SF-K27,1
SF-K25,1
SF-J25,1
SF-H26-2,5
SF-P24,1
SF-N22-1A,1
SF-J24,1
SF-O24,1
SF-J26,1
SF-I26-,5
SF-I25,1
SF-K23,1
SF-H26,5
SF-O23,1
SF-H27-1,5
SF-F28-2,5
SF-G27,5
SF-M22-2,1
SF-L22,1
SF-F27,5
SF-N22-2,1
SF-G28-2,5
SF-G28-1,5
SF-M22-1,1
SF-O25-1,1
SF-K22-2,1
SF-K24,1
SF-J23-2,1
SF-G23,2
SF-G24,8
SF-G25,2
SF-F23,8
SF-E23,8
SF-D24,0
SF-C22,2
SF-B22,2
SF-J17,0
SF-I19,8
SF-I20,2
SF-H16,0
SF-H19,2
SF-H20,2
SF-H18,8
SF-H17,8
SF-G19,2
SF-G17,8
SF-G18,8
SF-G20,8
SF-F19,8
SF-E18,8
SF-E20,0
SF-H30,5
SF-G30-2,5
SF-F30-1,5
SF-E29-2,5
SF-E29-1,5
SF-D29,5
SF-D28,5
SF-A27,5
SF-G29-2,5
SF-G29-1,5
SF-G30-1,5
SF-G29-3,5
SF-F30-2,5
SF-F29,5
SF-E29-3,5
SF-F28-1,5
SF-E28-2,5
SF-E28,5
SF-J10,0
SF-J12,0
SF-J13,0
SF-J15,0
SF-J14,0
SF-H13,0
SF-I16,0
SF-H12,6
SF-G10-2,6
SF-H15,0
SF-G9,6
SF-H14,0
SF-G13,0
SF-G11,6
SF-G12,6
SF-G10-1,6
SF-F15,0
SF-F16,0
SF-C21,2
SF-C20,5
SF-B21,2
SF-B19,5
SF-A20,5
SF-A19,5
SF-C26,5
SF-C25,5
SF-B25,5
SF-E27,5
SF-B28-2,5
SF-D27,5
SF-C28-2,5
SF-C28-1,5
SF-B28,5
SF-J1,4
SF-H0,4
SF-J3,6
SF-J5,6
SF-G6,6
SF-G8,6
SF-G5,6
SF-G7,6
SF-F9,6
SF-H25,1
SF-G26,5
SF-K21,8
SF-K22-1,1
SF-J23-1,1
SF-J22-1,2
SF-J22-2,2
SF-J21,2
SF-I21,2
SF-I22,2
SF-I23-2,1
SF-I24,1
SF-I23-1,2
SF-F26,2
SF-M13,0
SF-M15,0
SF-L19,8
SF-L20,2
SF-N20-1,2
SF-M20,2
SF-K17-2,0
SF-K20,8
SF-K15-,0
SF-K19,8
SF-K18,8
SF-K17,8
SF-J16,0
SF-J18,8
SF-J20,2
SF-J19,8
SF-O12,7
SF-M12,0
SF-M10,0
SF-M11,0
SF-R19,8
SF-R20,8
SF-Q21-2,8
SF-Q21-1,2
SF-P21,2
SF-O18,8
SF-O19,2
SF-O21,1
SF-O22,1
SF-N21,2
SF-N20-2,2
SF-M21,2
SF-L21,2
SF-S29,1
SF-S30,4
SF Depot,1
SF-Q30,1
SF-P30,1
SF-O30-2,1
SF-O30,1
SF-N27,1
SF-N29,1
SF-N28,1
SF-L30-1,5
SF-L31-1,5
SF-K30-2,5
SF-L29,5
SF-J29-1,5
SF-I30,5
SF-I29-2,5
SF-I27,5
SF-I28,5
SF-I30-2,5
SF I29-1,5
SF-H28,5
SF-H29,5
SF-S24,1
SF-R24,1
SF-R26,1
SF-Q26,1
SF-P26,1
SF-O25-2,1
SF-N22-1B,1
SF-N26,1
SF-N25,1
SF-T21,2
SF-T22,2
SF-S22-2,2
SF-S22-1,2
SF-Q23-3,2
SF-Q22-1,2
SF-Q22-2,2
SF-P22,2
SF-W19,3
SF-W19-2,3
SF-U21,8
SF-T20,2
SF-S21,2
SF-AA28,4
SF-Z28,4
SF-Y29,4
SF-Y30,4
SF-Y27,4
SF-X30,4
SF-X29,4
SF-W29,4
SF-V28,4
SF-V29,4
SF-V30,4
SF-V31,4
SF-V32,4
SF-U30,4
SF-W14,7
SF-Z7,3
SF-Z6,3
SF-W8,3
SF-BB17,3
SF-AA15,3
SF-Z16,3
SF-Y14,7
SF-X14,7
SF-X19,3
SF-Y25,4
