id,name
16th Depot Bike Station,16th Depot Bike Fleet Station
16th St Depot,16th St Depot
BK-A3,College Ave at Alcatraz Ave
BK-A7,Vine St at Shattuck Ave
BK-B7,Virginia St at Shattuck Ave
BK-B9,Hearst Ave at Euclid Ave
BK-C1,Fifth St at Delaware St
BK-C5,North Berkeley BART Station
BK-C6,MLK Jr Way at University Ave
BK-C7,Shattuck Ave at Hearst Ave
BK-C8,University Ave at Oxford St
BK-C9,Hearst Ave at Euclid Ave
BK-D1,Addison St at Fourth St
BK-D10,Bancroft Way at College Ave
BK-D2,10th St at University Ave
BK-D4,West St at University Ave
BK-D5,California St at University Ave
BK-D7-1,Downtown Berkeley BART
BK-D7-2,Berkeley Civic Center
BK-E10,Haste St at College Ave
BK-E2,Channing Way at San Pablo Ave
BK-E3,Channing Way at San Pablo Ave
BK-E7,Channing Way at Shattuck Ave
BK-E8,Fulton St at Bancroft Way
BK-E9-1,Bancroft Way at Telegraph Ave
BK-E9-2,Haste St at Telegraph Ave
BK-F10,Derby St at College Ave
BK-F2,Ninth St at Parker St
BK-F7,Milvia St at Derby St
BK-F8,Parker St at Fulton St
BK-F9,Telegraph Ave at Carleton St
BK-G4,San Pablo Park
BK-G7,Oregon St at Adeline St
BK-G8,Ellsworth St at Russell St
BK-G9,Telegraph Ave at Carleton St
BK-H10,Russell St at College Ave
BK-H3,Ninth St at Heinz Ave
BK-H6,Ashby BART Station
BK-H8,Fulton St at Ashby Ave
BK-H9,Telegraph Ave at Ashby Ave
BK-I5,Woolsey St at Sacramento St
BK-I6,Harmon St at Adeline St
EM-1,Emeryville Depot
EM-A1,59th St at Horton St
EM-A2,Doyle St at 59th St
EM-B0-2,2100 Powell St
EM-B1,Emeryville Public Market
EM-B2,Stanford Ave at Hollis St
EM-C1,65th St at Hollis St
EM-C2,53rd St at Hollis St
EM-C3,47th St at San Pablo Ave
EM-D2,Horton St at 40th St
EM-D3,Emeryville Town Hall
EM-D4,Adeline St at 40th St
OK-A2,Telegraph Ave at Alcatraz Ave
OK-A4,College Ave at Harwood Ave
OK-B1,Alcatraz Ave at Shattuck Ave
OK-B2,Bushrod Park
OK-B3,Telegraph Ave at 58th St
OK-B4,Rockridge BART Station
OK-B5,College Ave at Taft Ave
OK-C2,Dover St at 57th St
OK-C3,55th St at Telegraph Ave
OK-C4,Miles Ave at Cavour St
OK-C5,College Ave at Bryant Ave
OK-D2,Genoa St at 55th St
OK-D3-1,Shattuck Ave at 55th St
OK-D3-2,52nd St at MLK Jr Way
OK-D3-2,Shattuck Ave at 51st St
OK-D4,49th St at Telegraph Ave
OK-D4,Telegraph Ave at 49th St
OK-D5,Broadway at Coronado Ave
OK-E2,Market St at 45th St
OK-E3,45th St at MLK Jr Way
OK-E4,Shattuck Ave at Telegraph Ave
OK-E5,45th St at Manila
OK-F2-2,Market St at 45th St
OK-F3,West St at 40th St
OK-F4,MacArthur BART Station
OK-F5,Broadway at 40th St
OK-G2,Market St at 40th St
OK-G3,37th St at West St
OK-G4,MacArthur Blvd at Telegraph Ave
OK-G5,Mosswood Park
OK-H2,32nd St at Adeline St
OK-H3,Market St at Brockhurst St
OK-H4-3,34th St at Telegraph Ave
OK-H5,Broadway at 30th St
OK-H9-1,Grand Ave at Santa Clara Ave
OK-H9-2,Lakeshore Ave at Trestle Glen Rd
OK-I3,San Pablo Ave at 27th St
OK-I4,27th St at MLK Jr Way
OK-I5,Telegraph Ave at 27th St
OK-I6,Bay Pl at Vernon St
OK-I8,Grand Ave at Perkins St
OK-I9,El Embarcadero at Grand Ave
OK-J3,24th St at Market St
OK-J4,Isabella St at San Pablo Ave
OK-J5,Telegraph Ave at 23rd St
OK-J6-1,Grand Ave at Webster St
OK-J6-2,Snow Park
OK-K17,Foothill Blvd at Harrington Ave
OK-K2,DeFremery Park
OK-K3,Marston Campbell Park
OK-K4,San Pablo Ave at MLK Jr Way
OK-K5-1,Telegraph Ave at 19th St
OK-K5-2,19th Street BART Station
OK-K6,Webster St at 19th St
OK-K7,Madison St at 17th St
OK-K9,2nd Ave at E 18th St
OK-L1,14th St at Mandela Pkwy
OK-L10,6th Ave at E 12th St (Temporary Location)
OK-L11,10th Ave at E 15th St
OK-L12,San Antonio Park
OK-L13,21st St at 5th Ave
OK-L14,23rd Ave at Foothill Blvd
OK-L15,26th Ave at International Blvd
OK-L16,Foothill Blvd at Fruitvale Ave
OK-L17,Foothill Blvd at Harrington Ave
OK-L19,Bond St at High St
OK-L2,14th St at Mandela Pkwy
OK-L3,14th St at Filbert St
OK-L4,MLK Jr Way at 14th St
OK-L5,Frank H Ogawa Plaza
OK-L6,13th St at Franklin St
OK-L6-2,13th St at Webster St
OK-L7,Jackson St at 11th St
OK-L7-2,Lakeside Dr at 14th St
OK-L8,10th St at Fallon St
OK-L9,4th Ave at E 12th St (Temporary Location)
OK-M1,West Oakland BART Station
OK-M14,26th Ave at International Blvd
OK-M16,Fruitvale Ave at International Blvd
OK-M16,Farnam St at Fruitvale Ave
OK-M16,Farnham St at Fruitvale Ave
OK-M2,Union St at 10th St
OK-M3,Market St at 8th St
OK-M4,Market St at 8th St
OK-M5,Washington St at 8th St
OK-M6,Franklin St at 9th St
OK-M7,Lake Merritt BART Station
OK-N1,West Oakland BART Station
OK-N17,Fruitvale BART Station
OK-N6,Jack London Square
OK-N7,Webster St at 2nd St
SF Depot,Minnesota St Depot
SF Depot-2 (Minnesota St Outbound),SF Depot-2 (Minnesota St Outbound)
SF I29-1,Bryant St at 2nd St
SF-A19,Fillmore St at Jefferson St
SF-A20,Buchanan St at North Point St
SF-A27,The Embarcadero at Sansome St
SF-AA15,Balboa Park BART Station
SF-AA28,Egbert Ave at Jennings St
SF-B19,Bay St at Fillmore St
SF-B21,Greenwich St at Franklin St
SF-B22,Chestnut St at Van Ness Ave
SF-B25,Lombard St at Columbus Ave
SF-B28,Cruise Terminal at Pier 27
SF-B28-2,Battery St at Filbert St
SF-BB17,London St at Geneva Ave
SF-C20,Greenwich St at Webster St
SF-C21,Allyne Park (Green St at Gough St)
SF-C22,Green St at Van Ness Ave
SF-C25,Powell St at Columbus Ave
SF-C26,Broadway at Kearny St
SF-C28-1,The Embarcadero at Vallejo St
SF-C28-2,Broadway at Battery St
SF-D24,Leavenworth St at Broadway
SF-D27,Washington St at Kearny St
SF-D28,Davis St at Jackson St
SF-D29,Pier 1/2 at The Embarcadero
SF-E18,Divisadero St at Clay St
SF-E20,Webster St at Clay St
SF-E23,Jackson St at Polk St
SF-E27,Commercial St at Montgomery St
SF-E28,Clay St at Battery St
SF-E28-2,Front St at California St
SF-E29-1,San Francisco Ferry Building (Harry Bridges Plaza)
SF-E29-2,Market St at Steuart St
SF-E29-3,Embarcadero BART Station (Beale St at Market St)
SF-F15,Spruce St at California St
SF-F16,Laurel St at California St
SF-F19,Steiner St at California St
SF-F23,Fern St at Polk St
SF-F26,Union Square (Powell St at Post St)
SF-F27,Post St at Kearny St
SF-F28-1,Mechanics Monument Plaza (Market St at Bush St)
SF-F28-2,Montgomery St BART Station (Market St at 2nd St)
SF-F29,Howard St at Beale St
SF-F30-1,The Embarcadero at Steuart St
SF-F30-2,Spear St at Folsom St
SF-F9,18th Ave at California St
SF-G10-1,Funston Ave at Clement St
SF-G10-2,14th Ave at Geary Blvd
SF-G11,9th Ave at Geary Blvd
SF-G12,7th Ave at Clement St
SF-G13,Arguello Blvd at Geary Blvd
SF-G17,Post St at Baker St
SF-G18,Post St at Divisadero St
SF-G19,Raymond Kimbell Playground
SF-G20,Post St at Webster St
SF-G23,Myrtle St at Polk St
SF-G24,Hyde St at Post St
SF-G25,Jones St at Post St
SF-G26,Cyril Magnin St at Ellis St
SF-G27,Powell St BART Station (Market St at 4th St)
SF-G28-1,Howard St at 2nd St
SF-G28-2,Natoma St at New Montgomery St
SF-G29-1,Salesforce Transit Center (Natoma St at 2nd St)
SF-G29-2,1st St at Folsom St
SF-G29-3,Tehama St at 1st St
SF-G30-1,Beale St at Harrison St
SF-G30-2,The Embarcadero at Bryant St
SF-G5,Clement St at 32nd Ave
SF-G6,28th Ave at Geary Blvd
SF-G7,23rd Ave at Clement St
SF-G8,21st Ave at Geary Blvd
SF-G9,17th Ave at Geary Blvd
