station_id,station_latitude,station_longitude,station_elevation
31000,38.858971,-77.05323,-16.0
31001,38.85725,-77.05332,-16.0
31002,38.856425,-77.049232,-16.0
31003,38.8601325,-77.049541,-17.0
31004,38.857866,-77.05949,-11.0
31005,38.862303,-77.059936,-15.0
31006,38.8637,-77.0633,-15.0
31007,38.857404,-77.051131,-14.0
31009,38.848466,-77.051514,-21.0
31010,38.8426,-77.0502,-24.0
31011,38.8533,-77.0498,-18.0
31012,38.850688,-77.05152,-22.0
31013,38.854381,-77.053412,-17.0
31014,38.897315,-77.070993,-4.0
31015,38.8946,-77.072305,4.0
31016,38.893438,-77.076389,24.0
31017,38.891696,-77.0846,40.0
31018,38.892164,-77.079375,22.0
31019,38.889,-77.0925,44.0
31020,38.8904,-77.0889,40.0
31021,38.8881,-77.09308,47.0
31022,38.88786,-77.094875,50.0
31023,38.885801,-77.097745,49.0
31024,38.882788,-77.103148,48.0
31025,38.88397,-77.10783,51.0
31026,38.884734,-77.093485,48.0
31027,38.896355,-77.078408,15.0
31028,38.893237,-77.086063,41.0
31029,38.896923,-77.086502,36.0
31030,38.89593,-77.089006,42.0
31031,38.89054,-77.08095,24.0
31032,38.88081,-77.090792,46.0
31033,38.850336,-77.100988,0.0
31034,38.882629,-77.109366,51.0
31035,38.876393,-77.107735,54.0
31036,38.87887,-77.1207,50.0
31037,38.881044,-77.111768,53.0
31038,38.883921,-77.116817,54.0
31039,38.880012,-77.107854,55.0
31040,38.884604333333336,-77.10103016666666,48.0
31043,38.810743,-77.044664,-14.0
31046,38.811456,-77.050276,-15.0
31047,38.814577,-77.052808,-15.0
31049,38.883669,-77.113905,53.0
31050,38.884961,-77.08777,35.0
31051,38.88935266666667,-77.077283,14.0
31052,38.844015,-77.050537,-22.0
31053,38.863833,-77.080319,32.0
31054,38.847129,-77.11255,27.0
31055,38.846222,-77.069275,-25.0
31056,38.848035333333335,-77.07514,-20.0
31057,38.8444,-77.085931,-17.0
31058,38.860789,-77.09586,27.0
31059,38.84736,-77.095431,-8.0
31060,38.84232,-77.089555,-16.0
31061,38.848454,-77.084918,-1.0
31062,38.896553,-77.06714,-21.0
31063,38.852248,-77.105022,-1.0
31064,38.865029,-77.039511,-22.0
31065,38.880705,-77.08596,40.0
31066,38.867262,-77.072315,17.0
31067,38.862478,-77.086599,29.0
31068,38.856319,-77.11153,6.0
31069,38.871822,-77.107906,50.0
31070,38.873755,-77.089233,31.0
31071,38.862753,-77.05428,-17.0
31072,38.837666,-77.09482,26.0
31073,38.873219,-77.082104,25.0
31074,38.869418,-77.095596,32.0
31075,38.866471,-77.076131,17.0
31076,38.83993016666667,-77.087042,-12.0
31077,38.88992,-77.071301,7.0
31078,38.869442,-77.104503,40.0
31079,38.894941,-77.09169,41.0
31080,38.897612,-77.080851,20.0
31083,38.82175,-77.047494,-16.0
31085,38.820064,-77.057619,-18.0
31086,38.82595,-77.058541,-17.0
31087,38.820932,-77.053096,-14.0
31088,38.833077,-77.059821,-16.0
31089,38.890612,-77.084801,42.0
31090,38.865553,-77.05003,-21.0
31091,38.859254,-77.063275,-15.0
31092,38.896456,-77.104562,50.0
31093,38.898984,-77.078317,23.0
31094,38.895377,-77.09713,26.0
31095,38.86215,-77.06812,-1.0
31096,38.86612,-77.08787,32.0
31097,38.812718,-77.044097,-14.0
31098,38.80704,-77.059817,-25.0
31099,38.813485,-77.049468,-15.0
31100,38.9003,-77.0429,-8.0
31101,38.917764,-77.032096,1.0
31102,38.929464,-77.027822,22.0
31103,38.926088,-77.036536,28.0
31104,38.922925,-77.042581,21.0
31105,38.9268,-77.0322,28.0
31106,38.923203,-77.047637,15.0
31107,38.93184183333334,-77.0388055,30.0
31108,38.8767,-77.0178,-23.0
31109,38.9155,-77.0222,-3.0
31110,38.9154,-77.0446,3.0
31111,38.9172,-77.0259,-2.0
31112,38.927872,-77.043358,14.0
31113,38.920669,-77.04368,23.0
31114,38.918809,-77.041571,12.0
31115,38.928121,-77.023794,24.0
31116,38.917761,-77.04062,3.0
31117,38.92333,-77.0352,26.0
31118,38.917622,-77.01597,0.0
31119,38.921074,-77.031887,12.0
31120,38.920387,-77.025672,4.0
31121,38.923583,-77.050046,14.0
31122,38.928893,-77.03625,29.0
31123,38.925284,-77.032375,29.0
31124,38.928552,-77.032224,27.0
31125,38.919086,-77.034502,5.0
31126,38.925636,-77.027112,16.0
31127,38.898925,-77.048852,-9.0
31128,38.905303,-77.050264,-9.0
31129,38.896464,-77.03338,-19.0
31130,38.914204,-77.022175,-6.0
31131,38.934405,-77.032687,24.0
31132,38.916936,-77.029631,-1.0
31133,38.918036,-77.045487,21.0
31200,38.9101,-77.0444,-2.0
31201,38.90985,-77.034438,-3.0
31202,38.913046,-77.032008,0.0
31203,38.9086,-77.0323,-5.0
31204,38.8963,-77.045,-11.0
31205,38.90071,-77.046448,-6.0
31206,38.8952,-77.0436,-20.0
31207,38.9249,-77.0222,23.0
31208,38.8763,-77.0037,-24.0
31209,38.8743,-77.0057,-24.0
31211,38.897293,-77.05557,-20.0
31212,38.90571,-77.047317,-13.0
31213,38.90276,-77.03863,-11.0
31214,38.9121,-77.0387,-5.0
31215,38.902221,-77.059219,-26.0
31216,38.899632,-77.031686,-14.0
31217,38.886277,-77.028242,-18.0
31218,38.886266,-77.022241,-23.0
31219,38.893028,-77.026013,-27.0
31220,38.894919,-77.046587,-15.0
31221,38.905067,-77.041779,-12.0
31222,38.899032,-77.033354,-14.0
31223,38.905737,-77.02227,-6.0
31224,38.903741,-77.042452,-12.0
31225,38.9037885,-77.0627025,-14.0
31226,38.916442,-77.0682,28.0
31227,38.900283,-77.029822,-14.0
31228,38.89966966666667,-77.02298783333333,-14.0
31229,38.91554,-77.03818,-2.0
31230,38.898364,-77.027869,-17.0
31231,38.894514,-77.031617,-26.0
31232,38.897452,-77.02222583333334,-16.0
31233,38.902061,-77.038322,-9.0
31234,38.908905,-77.04478,-3.0
31235,38.8923,-77.0436,-22.0
31236,38.90774,-77.071652,10.0
31237,38.903827,-77.053485,-9.0
31238,38.898409,-77.032278,-16.0
31239,38.905995,-77.039802,-10.0
31240,38.88412,-77.04657,-24.0
31241,38.9059,-77.0325,-4.0
31242,38.89968,-77.041539,-8.0
31243,38.886371,-77.0177,-25.0
31244,38.88412,-77.017445,-24.0
31245,38.912719,-77.022155,-6.0
31246,38.905126,-77.056887,-12.0
31247,38.888553,-77.032427,-21.0
31248,38.888767,-77.02858,-19.0
31249,38.879819,-77.037413,-23.0
31250,38.903584,-77.044789,-13.0
31251,38.903819,-77.0284,-4.0
31252,38.901539,-77.046564,-6.0
31253,38.902204,-77.04337,-5.0
31254,38.902,-77.03353,-9.0
31255,38.9066,-77.05152,-10.0
31256,38.895914,-77.026064,-26.0
31257,38.90088,-77.048911,-8.0
31258,38.888255,-77.049437,-20.0
31259,38.894722,-77.045128,-15.0
31260,38.896104,-77.049882,-8.0
31261,38.892459,-77.046567,-22.0
31262,38.897857,-77.026975,-17.0
31263,38.9024,-77.02622,-9.0
31264,38.894573,-77.01994,-18.0
31265,38.90093,-77.018677,-15.0
31266,38.905579,-77.027313,-4.0
31267,38.908142,-77.038359,-7.0
31268,38.916787,-77.028139,-1.0
31269,38.887378,-77.001955,-5.0
31270,38.894851,-77.02324,-23.0
31271,38.892275,-77.013917,-35.0
31272,38.886978,-77.013769,-36.0
31273,38.878433,-77.03023,-26.0
31274,38.898243,-77.026235,-17.0
31275,38.901755,-77.051084,-8.0
31276,38.90366,-77.034846,-9.0
31277,38.898299,-77.039732,-11.0
31278,38.912648,-77.041834,-3.0
31279,38.898412,-77.043182,-9.0
31280,38.913761,-77.027025,-3.0
31281,38.90864,-77.02277,-1.0
31282,38.912652,-77.036278,-3.0
31283,38.903658,-77.031737,-10.0
31284,38.893511,-77.041544,-21.0
31285,38.909394,-77.048728,-10.0
31286,38.90843,-77.02714,-2.0
31287,38.884323,-77.02601,-13.0
31288,38.890493,-77.017253,-27.0
31289,38.890544,-77.049379,-22.0
31290,38.888097,-77.038325,-24.0
31291,38.901136,-77.034451,-10.0
31292,38.892441,-77.048947,-22.0
31293,38.902814,-77.061043,-23.0
31294,38.88345,-77.021741,-21.0
31295,38.905368,-77.065149,-9.0
31296,38.924088,-77.040787,27.0
31297,38.8995,-77.054155,-23.0
31298,38.905424,-77.034674,-7.0
31299,38.912644,-77.04564,-2.0
31300,38.944551,-77.063896,44.0
31301,38.938736,-77.087171,83.0
31302,38.934881,-77.072755,83.0
31303,38.947607,-77.079382,87.0
31304,38.922581,-77.070334,49.0
31305,38.934267,-77.057979,37.0
31306,38.922649,-77.077271,60.0
31307,38.930282,-77.055599,36.0
31308,38.943837,-77.077078,82.0
31309,38.954812,-77.082426,67.0
31310,38.955016,-77.069956,65.0
31312,38.90849,-77.063586,-4.0
31313,38.941139,-77.061977,46.0
31314,38.903732,-77.067529,-11.0
31315,38.964543,-77.075134,67.0
31316,38.946182,-77.08059,91.0
31317,38.958267,-77.084636,68.0
31318,38.947156,-77.065115,41.0
31319,38.949813,-77.080217,90.0
31320,38.936298,-77.087128,87.0
31321,38.892244,-77.033234,-27.0
31322,38.917036,-77.095782,16.0
31323,38.923389,-77.051833,16.0
31324,38.911268,-77.041829,-3.0
31325,38.912613,-77.074322,13.0
31326,38.9097,-77.085646,8.0
31327,38.91082683333333,-77.03188766666666,0.0
31328,38.898308,-77.046402,-7.0
31400,38.936684,-77.024181,28.0
31401,38.9375,-77.0328,21.0
31402,38.947774,-77.032818,28.0
31403,38.956555,-77.019814,31.0
31404,38.9418,-77.0251,26.0
31405,38.949662,-77.027333,25.0
31406,38.942475,-77.032678,15.0
31407,38.956432,-77.032947,47.0
31408,38.975219,-77.016855,51.0
31411,38.96141766666667,-77.02782083333334,58.0
31412,38.957463,-77.002239,15.0
31413,38.968834,-77.016258,37.0
