system:index,value,.geo
0,"[0.0, 0.0, 0.0]","{""type"":""Point"",""coordinates"":[-122.62,37.77]}"
1,"[0.0, 0.0, 0.0]","{""type"":""Point"",""coordinates"":[-122.6196,37.77]}"
2,"[0.0, 0.0, 0.0]","{""type"":""Point"",""coordinates"":[-122.6192,37.77]}"
3,"[0.0, 0.0, 0.0]","{""type"":""Point"",""coordinates"":[-122.61880000000001,37.77]}"
4,"[0.0, 0.0, 0.0]","{""type"":""Point"",""coordinates"":[-122.61840000000001,37.77]}"
5,"[0.0, 0.0, 0.0]","{""type"":""Point"",""coordinates"":[-122.61800000000001,37.77]}"
6,"[0.0, 0.0, 0.0]","{""type"":""Point"",""coordinates"":[-122.61760000000001,37.77]}"
7,"[0.0, 0.0, 0.0]","{""type"":""Point"",""coordinates"":[-122.61720000000001,37.77]}"
8,"[0.0, 0.0, 0.0]","{""type"":""Point"",""coordinates"":[-122.61680000000001,37.77]}"
9,"[0.0, 0.0, 0.0]","{""type"":""Point"",""coordinates"":[-122.61640000000001,37.77]}"
10,"[0.0, 0.0, 0.0]","{""type"":""Point"",""coordinates"":[-122.61600000000001,37.77]}"
11,"[0.0, 0.0, 0.0]","{""type"":""Point"",""coordinates"":[-122.61560000000001,37.77]}"
12,"[0.0, 0.0, 0.0]","{""type"":""Point"",""coordinates"":[-122.61520000000002,37.77]}"
13,"[0.0, 0.0, 0.0]","{""type"":""Point"",""coordinates"":[-122.61480000000002,37.77]}"
14,"[0.0, 0.0, 0.0]","{""type"":""Point"",""coordinates"":[-122.61440000000002,37.77]}"
15,"[0.0, 0.0, 0.0]","{""type"":""Point"",""coordinates"":[-122.61400000000002,37.77]}"
16,"[0.0, 0.0, 0.0]","{""type"":""Point"",""coordinates"":[-122.61360000000002,37.77]}"
17,"[0.0, 0.0, 0.0]","{""type"":""Point"",""coordinates"":[-122.61320000000002,37.77]}"
18,"[0.0, 0.0, 0.0]","{""type"":""Point"",""coordinates"":[-122.61280000000002,37.77]}"
19,"[0.0, 0.0, 0.0]","{""type"":""Point"",""coordinates"":[-122.61240000000002,37.77]}"
20,"[0.0, 0.0, 0.0]","{""type"":""Point"",""coordinates"":[-122.61200000000002,37.77]}"
21,"[0.0, 0.0, 0.0]","{""type"":""Point"",""coordinates"":[-122.61160000000002,37.77]}"
22,"[0.0, 0.0, 0.0]","{""type"":""Point"",""coordinates"":[-122.61120000000003,37.77]}"
23,"[0.0, 0.0, 0.0]","{""type"":""Point"",""coordinates"":[-122.61080000000003,37.77]}"
24,"[0.0, 0.0, 0.0]","{""type"":""Point"",""coordinates"":[-122.61040000000003,37.77]}"
25,"[0.0, 0.0, 0.0]","{""type"":""Point"",""coordinates"":[-122.61000000000003,37.77]}"
26,"[0.0, 0.0, 0.0]","{""type"":""Point"",""coordinates"":[-122.60960000000003,37.77]}"
27,"[0.0, 0.0, 0.0]","{""type"":""Point"",""coordinates"":[-122.60920000000003,37.77]}"
28,"[0.0, 0.0, 0.0]","{""type"":""Point"",""coordinates"":[-122.60880000000003,37.77]}"
